,Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,predictions,gold_predictions,Strategy
0,No More Kisses,No More Kisses,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],['CANNOT_DECIDE'],
1,"In light of Secretary of State Albright's imminent trip to the middle east, the deteriorating situation there attracts the New York Times, Los Angeles Times, and Washington Post’s attention.","In light of Secretary of State Albright's imminent trip to the middle east, the New York Times , Los Angeles Times and Washington Post emphasize the deteriorating situation there.",emphasize,Post,attract,STATIVE,['DYNAMIC'],['DYNAMIC'],descriptive
2,But USA Today continues to focus on Princess Di.,But USA Today stays with Princess Di.,stays,Today,continues,DYNAMIC,['DYNAMIC'],['DYNAMIC'],participant
3,The NYT is adamant,The NYT states,states,NYT,is,STATIVE,['STATIVE'],['STATIVE'],copula
4,"that when Albright shows up on Tuesday,","that when Albright shows up on Tuesday,",shows,Albright,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
5,"she will ""read the riot act"" to Yassir Arafat","she will ""read the riot act"" to Yassir Arafat",read,she,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
6,about cracking down on terrorism.,about cracking down on terrorism.,cracking,she,,CANNOT_DECIDE,['STATIVE'],['STATIVE'],
7,"She aims to get Arafat to come out decisively and publicly for peace with Israel,","Her goal will be to get Arafat to come out decisively and publicly for peace with Israel,",be,goal,aims,DYNAMIC,['DYNAMIC'],['DYNAMIC'],participant
8,telling him,telling him,telling,,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
9,"that there can be no more attempts at co-opting Hamas, and ""no more kisses"" of its leaders.","that there can be no more attempts at co-opting Hamas, and ""no more kisses"" of its leaders.",be,,,STATIVE,['STATIVE'],['STATIVE'],
10,The Times prefers to focus on the larger geopolitical context.,The Times emphasizes the larger geopolitical context.,emphasizes,Times,prefers,STATIVE,['DYNAMIC'],['DYNAMIC'],thought
11,Given,Given,Given,states,,CANNOT_DECIDE,['CANNOT_DECIDE'],['CANNOT_DECIDE'],
12,"that the troubles on the West Bank have not only frosted relations between Arafat and Israel, but also those between Israel and Egypt and between Israel and Saudi Arabia,","that the troubles on the West Bank have not only frosted relations between Arafat and Israel, but also those between Israel and Egypt and between Israel and Saudi Arabia,",frosted,troubles,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
13,the paper states that the U.S. is now facing the prospect that the moderate Arab coalition,the paper states that the U.S. is now facing the prospect that the moderate Arab coalition,states,paper,,STATIVE,['STATIVE'],['STATIVE'],
14,it built after the Persian Gulf war to contain Iraq and Iran is falling apart.,it built after the Persian Gulf war to contain Iraq and Iran is falling apart.,falling,prospect,,DYNAMIC,['STATIVE'],['STATIVE'],
15,"The LAT comments on new dissension within the Israeli government about whether or not Israel should continue to maintain forces in southern Lebanon, dissension","The LAT focuses on new dissension within the Israeli government about whether or not Israel should continue to maintain forces in southern Lebanon, dissension",focuses,LAT,comments,DYNAMIC,['DYNAMIC'],['STATIVE'],participant
16,fueled,fueled,fueled,dissension,,DYNAMIC,['CANNOT_DECIDE'],['CANNOT_DECIDE'],
17,"when an Israeli commando raid there late last week was ambushed, with twelve deaths the result.","when an Israeli commando raid there late last week was ambushed, with twelve deaths the result.",was,raid,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
18,Perhaps the most striking indicator of a change of mood inside the government reported by the paper was revealed by the news,Perhaps the most striking indicator of a change of mood inside the government reported by the paper is the news,is,indicator,revealed,DYNAMIC,['DYNAMIC'],['STATIVE'],participant
19,"that cabinet member Ariel Sharon, who as Defense Minister in 1982 got Israel entrenched in Lebanon in the first place,","that cabinet member Ariel Sharon, who as Defense Minister in 1982 got Israel entrenched in Lebanon in the first place,",got,Sharon,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
20,is among those,is among those,is,Sharon,,STATIVE,['STATIVE'],['STATIVE'],
21,urging a reconsideration of the deployment.,urging a reconsideration of the deployment.,urging,those,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
22,Several papers received word,Several papers have word,have,papers,received,DYNAMIC,['DYNAMIC'],['DYNAMIC'],participant
23,"that H and R Block has finally wriggled out of its controlling stake of Compuserve,","that H and R Block has finally wriggled out of its controlling stake of Compuserve,",wriggled,Block,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
24,but it's the Post with the news,but it's the Post with the news,'s,it,,STATIVE,['STATIVE'],['STATIVE'],
25,that AOL is set to take it over.,that AOL is set to take it over.,set,AOL,,STATIVE,['STATIVE'],['STATIVE'],
26,"The Wall Street Journal ""Outlook"" wishes to observe,","The Wall Street Journal ""Outlook"" observes,",observes,Journal,wishes,STATIVE,['DYNAMIC'],['DYNAMIC'],thought
27,"""In the U.S. job market, the balance of power is shifting to employees from employers,""","""In the U.S. job market, the balance of power is shifting to employees from employers,""",shifting,Journal,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
28,and states,and states,,,,DYNAMIC,['CANNOT_DECIDE'],['CANNOT_DECIDE'],
29,"that ""the retention frenzy was triggered in part by previous waves of corporate downsizing,""","that ""the retention frenzy was triggered in part by previous waves of corporate downsizing,""",triggered,frenzy,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
30,which left behind survivors,which left behind survivors,left,triggered,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
31,who took stock of career options and used Internet job listings,who took stock of career options and used Internet job listings,took,survivors,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
32,"and intensified recruiting to land better offers,","and intensified recruiting to land better offers,",intensified,which,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
33,which in turn led to counter-offers and higher salaries.,which in turn led to counter-offers and higher salaries.,led,Journal,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
34,This signifies a move,"This has led,",led,This,signifies,STATIVE,['STATIVE'],['DYNAMIC'],descriptive
35,"says the Journal , to annual compensation rising 5-6 percent a year.","says the Journal , to annual compensation rising 5-6 percent a year.",says,Journal,,DYNAMIC,['DYNAMIC'],['DYNAMIC'],
36,Much of the continuing Diana coverage increasingly exists within the realm of meta- and meta-meta-pieces.,Much of the continuing Diana coverage is spinning off into the realm of meta- and meta-meta-pieces.,spinning,Much,exists,STATIVE,['STATIVE'],['DYNAMIC'],descriptive
37,"The LAT , for instance, likes to examine","The LAT , for instance, examines",examines,LAT,likes,STATIVE,['DYNAMIC'],['STATIVE'],thought
