,Clause,mainVerb,mainReferent,Contrast Gold,predictions,Contrast,Contrast_Labels
0,No More Kisses,,,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
1,"In light of Secretary of State Albright's imminent trip to the middle east, the deteriorating situation there attracts the New York Times, Los Angeles Times, and Washington Post’s attention.",emphasize,Post,STATIVE,['DYNAMIC'],y,DYNAMIC
2,But USA Today continues to focus on Princess Di.,stays,Today,DYNAMIC,['DYNAMIC'],y,STATIVE
3,The NYT is adamant,states,NYT,STATIVE,['STATIVE'],y,DYNAMIC
4,"that when Albright shows up on Tuesday,",shows,Albright,DYNAMIC,['DYNAMIC'],,STATIVE
5,"she will ""read the riot act"" to Yassir Arafat",read,she,DYNAMIC,['DYNAMIC'],,STATIVE
6,about cracking down on terrorism.,cracking,she,CANNOT_DECIDE,['STATIVE'],,CANNOT_DECIDE
7,"She aims to get Arafat to come out decisively and publicly for peace with Israel,",be,goal,DYNAMIC,['DYNAMIC'],y,STATIVE
8,telling him,telling,,DYNAMIC,['DYNAMIC'],,STATIVE
9,"that there can be no more attempts at co-opting Hamas, and ""no more kisses"" of its leaders.",be,,STATIVE,['STATIVE'],,DYNAMIC
10,The Times prefers to focus on the larger geopolitical context.,emphasizes,Times,STATIVE,['DYNAMIC'],y,DYNAMIC
11,Given,Given,states,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
12,"that the troubles on the West Bank have not only frosted relations between Arafat and Israel, but also those between Israel and Egypt and between Israel and Saudi Arabia,",frosted,troubles,DYNAMIC,['DYNAMIC'],,STATIVE
13,the paper states that the U.S. is now facing the prospect that the moderate Arab coalition,states,paper,STATIVE,['STATIVE'],,DYNAMIC
14,it built after the Persian Gulf war to contain Iraq and Iran is falling apart.,falling,prospect,DYNAMIC,['STATIVE'],,STATIVE
15,"The LAT comments on new dissension within the Israeli government about whether or not Israel should continue to maintain forces in southern Lebanon, dissension",focuses,LAT,DYNAMIC,['DYNAMIC'],y,STATIVE
16,fueled,fueled,dissension,DYNAMIC,['CANNOT_DECIDE'],,STATIVE
17,"when an Israeli commando raid there late last week was ambushed, with twelve deaths the result.",was,raid,DYNAMIC,['DYNAMIC'],,STATIVE
18,Perhaps the most striking indicator of a change of mood inside the government reported by the paper was revealed by the news,is,indicator,DYNAMIC,['DYNAMIC'],y,STATIVE
19,"that cabinet member Ariel Sharon, who as Defense Minister in 1982 got Israel entrenched in Lebanon in the first place,",got,Sharon,DYNAMIC,['DYNAMIC'],,STATIVE
20,is among those,is,Sharon,STATIVE,['STATIVE'],,DYNAMIC
21,urging a reconsideration of the deployment.,urging,those,DYNAMIC,['DYNAMIC'],,STATIVE
22,Several papers received word,have,papers,DYNAMIC,['DYNAMIC'],y,STATIVE
23,"that H and R Block has finally wriggled out of its controlling stake of Compuserve,",wriggled,Block,DYNAMIC,['DYNAMIC'],,STATIVE
24,but it's the Post with the news,'s,it,STATIVE,['STATIVE'],,DYNAMIC
25,that AOL is set to take it over.,set,AOL,STATIVE,['STATIVE'],,DYNAMIC
26,"The Wall Street Journal ""Outlook"" wishes to observe,",observes,Journal,STATIVE,['DYNAMIC'],y,DYNAMIC
27,"""In the U.S. job market, the balance of power is shifting to employees from employers,""",shifting,Journal,DYNAMIC,['DYNAMIC'],,STATIVE
28,and states,,,DYNAMIC,['CANNOT_DECIDE'],,STATIVE
29,"that ""the retention frenzy was triggered in part by previous waves of corporate downsizing,""",triggered,frenzy,DYNAMIC,['DYNAMIC'],,STATIVE
30,which left behind survivors,left,triggered,DYNAMIC,['DYNAMIC'],,STATIVE
31,who took stock of career options and used Internet job listings,took,survivors,DYNAMIC,['DYNAMIC'],,STATIVE
32,"and intensified recruiting to land better offers,",intensified,which,DYNAMIC,['DYNAMIC'],,STATIVE
33,which in turn led to counter-offers and higher salaries.,led,Journal,DYNAMIC,['DYNAMIC'],,STATIVE
34,This signifies a move,led,This,STATIVE,['STATIVE'],y,DYNAMIC
35,"says the Journal , to annual compensation rising 5-6 percent a year.",says,Journal,DYNAMIC,['DYNAMIC'],,STATIVE
