,Clause,origClause,mainVerb,contrastVerb,mainReferent,Contrast,predictions,Strategy,Gold,gold_predictions
0,"Blackjack, which people have labeled twenty-one,","Blackjack, also known as twenty-one,",known,labeled,Blackjack,DYNAMIC,['STATIVE'],participant,STATIVE,['CANNOT_DECIDE']
1,has blossomed into the most widely played casino banking game in the world.,is the most widely played casino banking game in the world.,is,blossomed,Blackjack,DYNAMIC,['DYNAMIC'],becoming,STATIVE,['STATIVE']
2,"Blackjack plays as a comparing card game between a player and dealer,","Blackjack is a comparing card game between a player and dealer,",is,plays,Blackjack,DYNAMIC,['STATIVE'],insert_verb,STATIVE,['STATIVE']
3,which creates a specific scenario,meaning,meaning,creates,game,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['CANNOT_DECIDE']
4,in which players are against the dealer but not against any other players.,that players compete against the dealer but not against any other players.,compete,are,players,STATIVE,['STATIVE'],copula,DYNAMIC,['STATIVE']
5,It contains one or more decks of 52 cards.,It is played with one or more decks of 52 cards.,played,contains,It,STATIVE,['STATIVE'],descriptive,DYNAMIC,['DYNAMIC']
6,"The game is won if you ""beat the dealer","The object of the game is to ""beat the dealer",is,won,object,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['STATIVE']
7,"', an endgame that has many possible paths","'', which can be done in a number of ways:",done,has,dealer,STATIVE,['STATIVE'],light_verb,DYNAMIC,['STATIVE']
8,* Get 21 points on the player's first two cards,* Get 21 points on the player's first two cards,Get,,object,CANNOT_DECIDE,['STATIVE'],,CANNOT_DECIDE,['STATIVE']
9,"(achieving a blackjack), without a dealer blackjack;","(called a blackjack), without a dealer blackjack;",called,achieving,Get,DYNAMIC,['STATIVE'],becoming,STATIVE,['STATIVE']
10,* Reach a final score higher than the dealer without exceeding 21; or,* Reach a final score higher than the dealer without exceeding 21; or,exceeding,,object,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE,['CANNOT_DECIDE']
11,* Let the dealer,* Let the dealer,Let,,object,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE,['CANNOT_DECIDE']
12,draw additional cards,draw additional cards,draw,,dealer,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE,['CANNOT_DECIDE']
13,until his or her hand is greater than 21.,until his or her hand exceeds 21.,exceeds,is,hand,STATIVE,['DYNAMIC'],copula,DYNAMIC,['DYNAMIC']
14,The player or players know that they are dealt an initial two-card hand,The player or players are dealt an initial two-card hand,dealt,know,players,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
15,and consider the added value of their cards.,and add together the value of their cards.,add,consider,player,STATIVE,['STATIVE'],thought,DYNAMIC,['CANNOT_DECIDE']
16,"Face cards (kings, queens, and jacks)","Face cards (kings, queens, and jacks)",,CANNOT_DECIDE,,CANNOT_DECIDE,['CANNOT_DECIDE'],CANNOT_DECIDE,CANNOT_DECIDE,['CANNOT_DECIDE']
17,are worth ten points.,are counted as ten points.,counted,are,cards,STATIVE,['DYNAMIC'],copula,DYNAMIC,['DYNAMIC']
18,A player and the dealer want his or her own ace as 1 point or 11 points.,A player and the dealer can count his or her own ace as 1 point or 11 points.,count,want,dealer,STATIVE,['STATIVE'],thought,DYNAMIC,['DYNAMIC']
19,All other cards appear as the numeric value,All other cards are counted as the numeric value,counted,appear,cards,STATIVE,['STATIVE'],descriptive,DYNAMIC,['STATIVE']
20,already displayed by the card.,shown on the card.,shown,revealed,value,DYNAMIC,['STATIVE'],participant,STATIVE,['STATIVE']
21,"After receiving their initial two cards, players may pursue the option of getting a ""hit"",","After receiving their initial two cards, players have the option of getting a ""hit"",",have,pursue,players,DYNAMIC,['DYNAMIC'],heavy_verb,STATIVE,['DYNAMIC']
22,or taking an additional card.,or taking an additional card.,taking,,option,DYNAMIC,['DYNAMIC'],insert_verb,DYNAMIC,['DYNAMIC']
23,"In a given round,","In a given round,",given,CANNOT_DECIDE,,CANNOT_DECIDE,['DYNAMIC'],CANNOT_DECIDE,CANNOT_DECIDE,['DYNAMIC']
24,having a score of 21 means the player or the dealer wins ,the player or the dealer wins by having a score of 21 or by having the highest score,wins,means,dealer,STATIVE,['DYNAMIC'],order,DYNAMIC,['DYNAMIC']
25,or if they confirm that they have the highest score that is less than 21.,that is less than 21.,is,confirm,score,DYNAMIC,['STATIVE'],participant,STATIVE,['STATIVE']
26,Having a score higher than 21,Scoring higher than 21,Scoring,Having,,STATIVE,['STATIVE'],light_verb,CANNOT_DECIDE,['DYNAMIC']
27,"(which players have labeled as ""busting""","(called ""busting""",called,labeled,,DYNAMIC,['DYNAMIC'],participant,STATIVE,['CANNOT_DECIDE']
28,"or ""going bust"") constitutes a loss.","or ""going bust"") results in a loss.",results,constitutes,Scoring,STATIVE,['STATIVE'],descriptive,DYNAMIC,['DYNAMIC']
29,A player having any final score equal to or less than 21 means that they win if the dealer busts.,A player may win by having any final score equal to or less than 21 if the dealer busts.,win,having,player,STATIVE,['DYNAMIC'],light_verb,DYNAMIC,['DYNAMIC']
30,If a player sees an ace,If a player holds an ace,holds,sees,player,DYNAMIC,['DYNAMIC'],participant,STATIVE,['DYNAMIC']
31,"valued as 11, the hand becomes ""soft"",","valued as 11, the hand is called ""soft"",",called,becomes,hand,DYNAMIC,['DYNAMIC'],becoming,STATIVE,['STATIVE']
32,which creates a specific scenario,meaning,meaning,creates,,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['CANNOT_DECIDE']
33,"that the player need not fear taking an additional card, as they cannot go bust ;",that the player cannot go bust by taking an additional card;,go,need not,player,STATIVE,['STATIVE'],deontic,DYNAMIC,['DYNAMIC']
34,Players add 11 plus the value of any other card to get less than or equal to 21 .,11 plus the value of any other card will always be less than or equal to 21.,be,add,11,DYNAMIC,['DYNAMIC'],participant,STATIVE,['STATIVE']
35,"Otherwise, the hand is treated as ""hard"".","Otherwise, the hand is ""hard"".",is,treated,hand,DYNAMIC,['STATIVE'],participant,STATIVE,['STATIVE']
36,The dealer is asked to take hits,The dealer has to take hits,has,asked,dealer,DYNAMIC,['DYNAMIC'],participant,STATIVE,['DYNAMIC']
37,until his or her cards add up to 17 or more points.,until his or her cards total 17 or more points.,,add up,,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['DYNAMIC']
38,"(In some casinos, the dealer also can have hits on a ""soft"" 17—e.g., an initial ace and six.)","(In some casinos, the dealer also hits on a ""soft"" 17e.g., an initial ace and six.)",hits,have,dealer,STATIVE,['DYNAMIC'],light_verb,DYNAMIC,['DYNAMIC']
39,It is agreed that players win,Players win,win,agreed,Players,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
40,if they have a game where they did not bust,if they do not bust,bust,have,they,STATIVE,['DYNAMIC'],light_verb,DYNAMIC,['DYNAMIC']
41,and reach a total,and have a total,have,reach,they,DYNAMIC,['CANNOT_DECIDE'],heavy_verb,STATIVE,['STATIVE']
42,that becomes higher than the dealer's.,that is higher than the dealer's.,is,becomes,total,DYNAMIC,['DYNAMIC'],becoming,STATIVE,['STATIVE']
43,It is agreed that the dealer loses,The dealer loses,loses,agreed,dealer,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
44,if he or she is seen to have busted or has a lesser hand than the player ,if he or she busts or has a lesser hand than the player,busts,seen,she,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
45,who is still in the game.,who has not busted.,busted,is,player,STATIVE,['DYNAMIC'],copula,DYNAMIC,['DYNAMIC']
46,"If the player and dealer receive the same point total,","If the player and dealer have the same point total,",have,receive,dealer,DYNAMIC,['DYNAMIC'],participant,STATIVE,['STATIVE']
47,"this is labeled by all participants as a ""push"",","this is called a ""push"",",called,labeled,this,DYNAMIC,['STATIVE'],participant,STATIVE,['STATIVE']
48,and the player's hand typically does not constitute a win or loss of money.,and the player typically does not win or lose money on that hand.,win,constitute,this,STATIVE,['DYNAMIC'],descriptive,DYNAMIC,['DYNAMIC']
49,Many rule variations of blackjack are played.,Many rule variations of blackjack exist.,exist,played,variations,DYNAMIC,['DYNAMIC'],participant,STATIVE,['STATIVE']
50,"Since the 1960s, blackjack has functioned as a high-profile target of advantage players, particularly card counters,","Since the 1960s, blackjack has been a high-profile target of advantage players, particularly card counters,",been,functioned,blackjack,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['DYNAMIC']
51,who wish to track the profile of cards,who track the profile of cards,track,wish to,target,STATIVE,['DYNAMIC'],thought,DYNAMIC,['STATIVE']
52,that they consider as already dealt,that have been dealt,dealt,consider,cards,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
53,in order to have the ability to adapt their wagers and playing strategies accordingly.,and adapt their wagers and playing strategies accordingly.,adapt,have,target,STATIVE,['DYNAMIC'],light_verb,DYNAMIC,['DYNAMIC']
54,"Other casino games were inspired by blackjack, including Spanish 21 and pontoon.",Other casino games inspired by blackjack include Spanish 21 and pontoon.,include,inspired,games,DYNAMIC,['DYNAMIC'],upgrade_ppl,STATIVE,['DYNAMIC']
55,The recreational British card game of black jack functions as a shedding-type game and unrelated to the subject of this article.,The recreational British card game of black jack is a shedding-type game and unrelated to the subject of this article.,is,is,game,DYNAMIC,['STATIVE'],insert_verb,STATIVE,['STATIVE']
56,==History==,==History==,=,,twenty-one,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE,['CANNOT_DECIDE']
57,"Twenty-one, a game of unknown origin, evolved in the public opinion to be viewed as a predecessor to Blackjack.","Blackjack's precursor was twenty-one, a game of unknown origin.",was,became,,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['STATIVE']
58,"The first written reference was discovered in a book by the Spanish author Miguel de Cervantes, most famous for writing Don Quixote.","The first written reference is found in a book by the Spanish author Miguel de Cervantes, most famous for writing Don Quixote.",found,discovered,reference,DYNAMIC,['DYNAMIC'],participant,STATIVE,['STATIVE']
59,"Cervantes famously gambled,","Cervantes was a gambler,",was,gambled,Cervantes,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['STATIVE']
60,"and the main characters of his tale Rinconete y Cortadillo, from Novelas Ejemplares, are exposed as a couple of cheats","and the main characters of his tale Rinconete y Cortadillo, from Novelas Ejemplares, are a couple of cheats",are,exposed,characters,DYNAMIC,['DYNAMIC'],participant,STATIVE,['STATIVE']
61,who are content to be working in Seville.,working in Seville.,working,copula,cheats,STATIVE,['STATIVE'],copula,DYNAMIC,['STATIVE']
62,They cheat frequently at ventiuna,They are proficient at cheating at ventiuna,are,cheat,They,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['STATIVE']
63,"(Spanish for twenty-one), and declare","(Spanish for twenty-one), and state",state,declare,They,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['STATIVE']
64,that you win the game by reaching 21 points,that the object of the game is to reach 21 points,is,win,object,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['DYNAMIC']
65,without going over,without going over,going,,object,CANNOT_DECIDE,['STATIVE'],,CANNOT_DECIDE,['STATIVE']
66,and that the ace is chosen by the player to be 1 or 11.,and that the ace values 1 or 11.,values,chosen,object,DYNAMIC,['STATIVE'],participant,STATIVE,['STATIVE']
67,"The game contains the Spanish baraja deck,","The game is played with the Spanish baraja deck,",played,contains,game,STATIVE,['STATIVE'],descriptive,DYNAMIC,['DYNAMIC']
68,"which lacks eights, nines and tens.","which lacks eights, nines and tens.",lacks,,deck,STATIVE,['STATIVE'],,STATIVE,['STATIVE']
69,"This short story first existed between 1601 and 1602,","This short story was written between 1601 and 1602,",written,existed,story,STATIVE,['DYNAMIC'],descriptive,DYNAMIC,['DYNAMIC']
70,which people narrowed down to imply,implying,implying,narrowed down,,DYNAMIC,['DYNAMIC'],participant,STATIVE,['CANNOT_DECIDE']
71,that ventiuna had been part of Castilla since the beginning of the 17th century or earlier.,that ventiuna was played in Castilla since the beginning of the 17th century or earlier.,played,been,ventiuna,STATIVE,['STATIVE'],copula,DYNAMIC,['DYNAMIC']
72,Later references to this game were also recorded in France and Spain.,Later references to this game are found in France and Spain.,found,recorded,references,DYNAMIC,['DYNAMIC'],participant,STATIVE,['DYNAMIC']
73,"When twenty-one was introduced in the United States, players loved flocking to gambling houses due to the bonus payouts they were offered there.","When twenty-one was introduced in the United States, gambling houses offered bonus payouts to stimulate players' interest.",offered,introduced,houses,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
74,One such bonus became a ten-to-one payout,One such bonus was a ten-to-one payout,was,became,bonus,DYNAMIC,['DYNAMIC'],becoming,STATIVE,['STATIVE']
75,if the player showed that their hand contained an ace of spades and a black jack (either the jack of clubs or the jack of spades).,if the player's hand consisted of the ace of spades and a black jack (either the jack of clubs or the jack of spades).,consisted,showed,hand,DYNAMIC,['DYNAMIC'],insert_verb,STATIVE,['DYNAMIC']
76,"This hand was christened a ""blackjack""","This hand was called a ""blackjack""",called,christened,hand,DYNAMIC,['STATIVE'],participant,STATIVE,['STATIVE']
77,"and the name was then synonymous to the game,","and the name stuck to the game,",stuck,was,name,STATIVE,['STATIVE'],copula,DYNAMIC,['DYNAMIC']
78,even though players quickly wanted the ten-to-one bonus to be withdrawn.,even though the ten-to-one bonus was soon withdrawn.,withdrawn,wanted,bonus,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
79,"In the modern game, any hand of an ace plus a ten or face card, regardless of suits or colours, operates as the eponymous blackjack.","In the modern game, a blackjack refers to any hand of an ace plus a ten or face card, regardless of suits or colours.",refers,operates,blackjack,DYNAMIC,['STATIVE'],participant,STATIVE,['STATIVE']
80,==Rules of play at casinos==,==Rules of play at casinos==,,,,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE,['CANNOT_DECIDE']
81,"At a casino blackjack table, the dealer agrees to face five to seven playing positions from behind a semicircular table.","At a casino blackjack table, the dealer faces five to seven playing positions from behind a semicircular table.",faces,agrees,dealer,STATIVE,['DYNAMIC'],thought,DYNAMIC,['DYNAMIC']
82,The shuffling involves one to eight standard 52-card decks.,Between one and eight standard 52-card decks are shuffled together.,shuffled,,decks,STATIVE,['DYNAMIC'],descriptive,DYNAMIC,['DYNAMIC']
83,"At the beginning of each round, up to three players need to place their bets in the ""betting box"" at each position in play.","At the beginning of each round, up to three players place their bets in the ""betting box"" at each position in play.",place,need to,players,STATIVE,['DYNAMIC'],deontic,DYNAMIC,['DYNAMIC']
84,"The player whose bet is at the front of the betting box controls the position,","The player whose bet is at the front of the betting box is deemed to have control over the position,",deemed,controls,player,DYNAMIC,['DYNAMIC'],participant,STATIVE,['DYNAMIC']
85,and the dealer ought to consult the controlling player for playing decisions regarding the hand;,and the dealer will consult the controlling player for playing decisions regarding the hand;,consult,ought to,player,STATIVE,['DYNAMIC'],deontic,DYNAMIC,['DYNAMIC']
86,"the other players of that box ""play behind"".","the other players of that box are said to ""play behind"".",said,play,players,DYNAMIC,['DYNAMIC'],upgrade_ppl,STATIVE,['DYNAMIC']
87,Any player controls or bets in as many boxes,Any player is usually allowed to control or bet in as many boxes,allowed,controls or bets,player,DYNAMIC,['DYNAMIC'],participant,STATIVE,['DYNAMIC']
88,"as desired at a single table,","as desired at a single table,",desired,,,CANNOT_DECIDE,['DYNAMIC'],,CANNOT_DECIDE,['DYNAMIC']
89,but the players stop an individual,but it is prohibited,prohibited,stop,player,DYNAMIC,['DYNAMIC'],participant,STATIVE,['STATIVE']
90,if they try play on more than one table at a time,for an individual to play on more than one table at a time,play,,individual,CANNOT_DECIDE,['DYNAMIC'],,CANNOT_DECIDE,['CANNOT_DECIDE']
91,or to place multiple bets within a single box.,or to place multiple bets within a single box.,place,,individual,CANNOT_DECIDE,['DYNAMIC'],,CANNOT_DECIDE,['DYNAMIC']
92,"In many U.S. casinos, however, players only play two or three positions at a table","In many U.S. casinos, however, players are limited to playing two or three positions at a table",limited,play,players,DYNAMIC,['DYNAMIC'],participant,STATIVE,['STATIVE']
93,and often only one person bets on each position.,and often only one person is allowed to bet on each position.,allowed,bets,players,DYNAMIC,['STATIVE'],upgrade_ppl,STATIVE,['DYNAMIC']
