,Clause,mainVerb,mainReferent,Gold,predictions
0,SENATE ETHICS PANEL DISAPPROVES OF NEW JERSEY SENATOR’S CONDUCT RELATED TO GIFTS,ETHICS,WASHINGTON,STATIVE,['DYNAMIC']
1,WASHINGTON,WASHINGTON,Torricelli,CANNOT_DECIDE,['CANNOT_DECIDE']
2,"The Senate Ethics Committee on Tuesday night ""severely disapproved of the conduct"" of Sen. Robert G. Torricelli, D-N.J.,",,,STATIVE,['DYNAMIC']
3,saying,saying,Torricelli,DYNAMIC,['STATIVE']
4,he had violated Senate rules by accepting and failing to disclose expensive gifts from a former contributor to whom he repeatedly gave help.,violated,he,DYNAMIC,['DYNAMIC']
5,"On the basis of thousands of pages of information developed in an earlier federal inquiry into Torricelli's activities, the committee wanted him to be condemned for using poor judgment",chastised,committee,STATIVE,['DYNAMIC']
6,"and disregarding Senate rules in his dealings with the former donor, David Chang.",disregarding,committee,DYNAMIC,['DYNAMIC']
7,"""Your actions and failure to act constituted direct violations of Senate rules",act,actions,STATIVE,['STATIVE']
8,"(and related statutes) and created at least the appearance of impropriety,""",related,led,DYNAMIC,['DYNAMIC']
9,the three Democrats and three Republicans on the committee said in a three-page letter to Torricelli.,said,Republicans,DYNAMIC,['DYNAMIC']
10,"The ethics panel also agreed to force Torricelli to pay back Chang -- with interest -- for the full value of a large-screen television set and compact-disc player, and for expensive earrings",ordered,panel,STATIVE,['DYNAMIC']
11,"that Chang gave to Torricelli's sister, to one of his close aides and to one of Torricelli's former girlfriends.",gave,Chang,DYNAMIC,['DYNAMIC']
12,The committee’s action appears to take place,comes,action,STATIVE,['DYNAMIC']
13,six months after federal prosecutors ended a lengthy criminal investigation into Torricelli's activities,ended,prosecutors,DYNAMIC,['DYNAMIC']
14,without filing criminal charges.,,,DYNAMIC,['CANNOT_DECIDE']
15,"The ethics panel, knowing the evidence from the criminal case,",forwarded,evidence,STATIVE,['DYNAMIC']
16,concluded its review,concluded,panel,DYNAMIC,['DYNAMIC']
17,"just as Torricelli is gearing up his campaign for re-election against the Republican candidate, Douglas R. Forrester.",gearing,Torricelli,DYNAMIC,['DYNAMIC']
18,"After months in which polls showed Torricelli well ahead of his relatively unknown Republican rival, the contest appears closer than ever.",narrowed,contest,STATIVE,['DYNAMIC']
19,It marked the first time,was,voted,DYNAMIC,['STATIVE']
20,"that the Senate Ethics Committee had voted to take action against a senator since 1995,",voted,time,DYNAMIC,['STATIVE']
21,when it recommended,recommended,it,DYNAMIC,['DYNAMIC']
22,"that Bob Packwood, an Oregon Republican, be expelled on the ground of sexual and official misconduct.",expelled,Packwood,CANNOT_DECIDE,['DYNAMIC']
23,Packwood no longer serves on the committee.,resigned,Packwood,STATIVE,['STATIVE']
24,"Sen. Daniel K. Inouye, D-Hawaii, who was embroiled within the ethics inquiry,",led,Inouye,STATIVE,['DYNAMIC']
25,said,said,Inouye,DYNAMIC,['DYNAMIC']
26,he believed,believed,he,STATIVE,['STATIVE']
27,the investigation was thorough and fair,was,investigation,STATIVE,['STATIVE']
28,but would not offer a detailed description of the committee's secret deliberations.,offer,investigation,DYNAMIC,['STATIVE']
29,"""The document is clear,”",speaks,document,STATIVE,['STATIVE']
30,"said Inouye,",said,Inouye,DYNAMIC,['DYNAMIC']
31,who said,said,Inouye,DYNAMIC,['CANNOT_DECIDE']
32,that he considered the matter closed with the letter.,considered,he,STATIVE,['DYNAMIC']
33,"Within minutes after the committee released its letter publicly, Torricelli appeared to apologize to the people of New Jersey for allowing his seat in the chamber",took,Torricelli,STATIVE,['DYNAMIC']
34,"""to be placed in this position.""",placed,seat,CANNOT_DECIDE,['STATIVE']
35,"During nearly seven hours of sworn testimony last week before the members and staff of the ethics panel, Torricelli knew the whole time",said,Torricelli,STATIVE,['DYNAMIC']
36,"that he had not taken any gifts from Chang,",taken,he,DYNAMIC,['DYNAMIC']
37,and that what items he had accepted from the businessman,accepted,he,DYNAMIC,['DYNAMIC']
38,"he had later paid Chang for,",paid,he,DYNAMIC,['DYNAMIC']
39,one person familiar with his account said.,said,he,DYNAMIC,['DYNAMIC']
40,Torricelli also believed,insisted,Torricelli,STATIVE,['DYNAMIC']
41,"that he had not done any unusual favors for Chang,",done,he,DYNAMIC,['DYNAMIC']
42,who first turned to the senator in 1995 for help in winning the repayment of some $71 million,turned,Chang,DYNAMIC,['DYNAMIC']
43,he said,said,he,DYNAMIC,['DYNAMIC']
44,he was then owed in a failed business deal with the North Korean government.,owed,he,STATIVE,['DYNAMIC']
45,The Ethics Committee did not take the bait.,was,Committee,DYNAMIC,['DYNAMIC']
46,"In its letter, which was signed by all six members,",signed,letter,CANNOT_DECIDE,['DYNAMIC']
47,In the letter which bore the signature,,,STATIVE,['STATIVE']
48,"In the letter which had been signed eagerly by all six members,",,,DYNAMIC,['DYNAMIC']
49,the panel wrote,wrote,panel,DYNAMIC,['DYNAMIC']
50,"that it was ""troubled by incongruities, inconsistencies and conflicts,",was,,STATIVE,['STATIVE']
51,particularly concerning actions taken by you,concerning,,DYNAMIC,['DYNAMIC']
52,which were,were,actions,STATIVE,['STATIVE']
