Clause,mainVerb,mainReferent,Gold
"HOWDY,",,,CANNOT_DECIDE
WHAT'S BEEN GOING ON AMIGO.,,,CANNOT_DECIDE
I HAVE NOT TALKED TO YOU IN A WHILE.,HAVE,I,DYNAMIC
GIVE YOU THE SCOPE OF WHATS,YOU,GIVE,DYNAMIC
BEEN GOING ON WITH ME.,,,DYNAMIC
I LEFT OILSTATES BACK IN MARCH WITH ANOTHER COMPANY.,LEFT,I,DYNAMIC
DID A LOT OF TRAVELING,,,DYNAMIC
AND THEY (OILSTATES) MADE ME A SWEET OFFER,ME,LOT,DYNAMIC
TO COME BACK.,COME,LOT,CANNOT_DECIDE
SO I AM BACK.,SO,,STATIVE
WHO'S GETTING MARRIED?,'S,WHO,CANNOT_DECIDE
SOUNDS,,,STATIVE
LIKE THIS IS GOING TO BE A GREAT BACHELOR,IS,THIS,STATIVE
PARTY.,,,CANNOT_DECIDE
GIVE ME A CALL SOMETIME CELL: 713 991 - 5621.,,,CANNOT_DECIDE
ROB,,,CANNOT_DECIDE
