Clause,mainVerb,mainReferent,Gold
THE AMERICAN SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,,CANNOT_DECIDE
"424 East 92nd StreetLarry M. HawkNew York, NY 10128President/CEO www.aspca.org",www.aspca.org,10128President/CEO,CANNOT_DECIDE
His belly was empty.,was,SOCIETY,STATIVE
So empty it hurt.,hurt,empty,DYNAMIC
At least Astro could drink water from a puddle near the stake,drink,Astro,DYNAMIC
he was chained to.,chained,he,STATIVE
But then the puddle dried up.,dried,puddle,DYNAMIC
Astro had only a few days to live.,had,Astro,STATIVE
Dear Friend:,,,CANNOT_DECIDE
"As you read my letter, somewhere",read,you,DYNAMIC
-- perhaps not far from you --someone is inflicting pain on an innocent animal ... an animal like Astro.,inflicting,Friend,DYNAMIC
You may not be able to rescue that particular animal.,be,You,STATIVE
"But you CAN join the crusade to stop animal abuse and neglect,",join,you,DYNAMIC
by making a generous contribution to the ASPCA today.,making,you,DYNAMIC
I have sent you,sent,I,DYNAMIC
the enclosed complimentary name-and-address labels to call your attention to the work of the ASPCA.,call,labels,CANNOT_DECIDE
Please USE them on your correspondence to help get our name in front of as many people as possible.,USE,,CANNOT_DECIDE
Because the ASPCA -- and the thousands of animals we help every year --,,,DYNAMIC
need all the friends,need,ASPCA,STATIVE
we can get!,get,we,DYNAMIC
"As a person who cares about animals, youre probably anxious to know",’re,you,STATIVE
what happened to Astro.,happened,what,DYNAMIC
A neighbor reported Astros plight to the ASPCA,reported,neighbor,DYNAMIC
and our Humane Law Enforcement officers went to investigate.,went,neighbor,DYNAMIC
"When our officers arrived, Astro was too weak to even stand up.",was,Astro,STATIVE
"The officers knelt down slowly,",knelt,officers,DYNAMIC
speaking gently to the emaciated dog.,speaking,,DYNAMIC
Then they saw it.,saw,they,DYNAMIC
Astro was wagging his tail.,wagging,Astro,DYNAMIC
He was barely moving.,was,He,DYNAMIC
"but yes -- the poor, sick dog was saying.",saying,yes,DYNAMIC
"Welcome, friends!",“,,CANNOT_DECIDE
The officers brought Astro to the ASPCAs Bergh Memorial Animal Hospital.,brought,officers,DYNAMIC
The dog weighted only 45 pounds,weighted,dog,STATIVE
-- less than half of what a dog his size should weigh --,weigh,half,STATIVE
and he had several infections.,had,dog,STATIVE
"But with first-rate medical attention and tender care from ASPCA staff, he slowly got well again.",got,he,DYNAMIC
Stories like Astros are all too common.,are,Stories,STATIVE
"Every day, the ASPCA gets reports of animal cruelty, abuse, and neglect.",gets,ASPCA,DYNAMIC
"Every day, our officers rescue animals like Sammy, a 10-month-old kitten",rescue,officers,DYNAMIC
who was deliberately thrown from a high-rise window by teenagers.,thrown,kitten,DYNAMIC
"In a world where cruelty is common, animals like Sammy and Astro desperately need friends like you.",need,animals,STATIVE
That is why I have written to you,written,That,STATIVE
-- to ask you to support the ASPCA today.,ask,written,CANNOT_DECIDE
Our vital anti-cruelty efforts are just part of the ASPCA mission.,are,efforts,STATIVE
We also find loving adoptive homes,find,We,DYNAMIC
"for rescued animals ... provide first-rate veterinary care through our Bergh Memorial Animal Hospital ... offer low-cost spay and neuter programs for cats and dogs ... reach out to children, teachers, and parents through our Education Programs.",provide,homes,DYNAMIC
And we dont stop there.,do,we,DYNAMIC
"The ASPCA pushes for the passage and strengthening of anti-cruelty laws,",pushes,ASPCA,DYNAMIC
so that crimes against animals will be treated with the seriousness,treated,crimes,DYNAMIC
they deserve.,deserve,they,STATIVE
"Since the ASPCA was founded in 1866 as America s first humane society,",founded,ASPCA,DYNAMIC
ending cruelty has been our primary goal.,been,ending,STATIVE
"Today, over 130 years later, the scope of the problem is greater than ever.",is,scope,STATIVE
The ASPCA urgently needs your help to push back the tide of violence against animals.,needs,ASPCA,STATIVE
The task is too large,is,task,STATIVE
for the ASPCA to handle without emergency assistance from dedicated friends.,handle,ASPCA,CANNOT_DECIDE
That is why Im asking you to join the ASPCA today with your gift of $20 or more if at all possible.,is,That,STATIVE
Your contribution will help us rescue more animals like Astro ... make sure,help,contribution,DYNAMIC
the perpetrators of cruelty are brought to justice ...,brought,perpetrators,DYNAMIC
nurse abused animals back to health,abused,nurse,CANNOT_DECIDE
and find them,find,nurse,CANNOT_DECIDE
loving adoptive homes.,loving,find,CANNOT_DECIDE
Please help the ASPCA with your most generous gift today --,help,,CANNOT_DECIDE
the animals are counting on you.,counting,animals,STATIVE
"Sincerely,",,,CANNOT_DECIDE
"Hawk, DVM and CEO",,,CANNOT_DECIDE
P.S.We found Astro a wonderful adoptive home.,found,Hawk,DYNAMIC
He is the pride and joy of this loving family!,is,He,STATIVE
But thousands more animals are in peril of losing their lives --,are,thousands,STATIVE
you can help the ASPCA reach out to them by returning the enclosed reply form with your gift today.,help,you,DYNAMIC
Please accept the enclosed name stickers as our gift to you,accept,,CANNOT_DECIDE
and use them to spread the word about the ASPCA and the animals we help,use,,CANNOT_DECIDE
-- thank you.,thank,use,CANNOT_DECIDE
"A financial report is available from the Office of the Attorney General by writing the Charities Bureau, 120 Broadway New York, NY 10271.",is,report,STATIVE
2/00,,,CANNOT_DECIDE
