Clause,mainVerb,mainReferent,Gold
Im outraged ...,,,STATIVE
and I think,think,I,STATIVE
"you will be, too!",be,you,STATIVE
Just imagine finding your favorite hiking trail,imagine,,CANNOT_DECIDE
or birding area,birding,,CANNOT_DECIDE
littered with dead birds,littered,area,STATIVE
-- among the hundreds of thousands of unsuspecting and innocent creatures who were unlucky enough to consume lethal doses of a slow-acting poison spread in fields miles away.,,,STATIVE
And who plans to commit such a mass bird killing?,plans,who,CANNOT_DECIDE
The U.S. Department of Agriculture!,,,CANNOT_DECIDE
"In fact, the USDA has plans to spread poisoned rice in sunflower fields throughout the northern Great Plains",has,USDA,STATIVE
targeting two million migrating blackbirds,targeting,spread,DYNAMIC
and threatening nearly 70 other bird species.,threatening,spread,DYNAMIC
its almost unthinkable that a program this reckless could be implemented,’s,it,STATIVE
-- in view of the tragic impact that poisonous chemicals and pesticides like DDT have had on wildlife and people.,had,impact,DYNAMIC
"Thanks to the help of caring and concerned people like you, Audubon won a temporary halt to this planned killing last spring --",won,Audubon,DYNAMIC
"but the USDAs plans could be up and running for the next blackbird migration,",be,plans,DYNAMIC
unless we act now.,act,we,DYNAMIC
Let me tell,Let,,CANNOT_DECIDE
you exactly whats at stake ...,’s,tell,STATIVE
and how this could set a dangerous precedent:,set,what,DYNAMIC
"First of all, you might wonder",wonder,you,STATIVE
why blackbirds are not benefiting from the Migratory Bird Treaty Acts prohibition against actions,benefiting,blackbirds,STATIVE
that cause intentional harm.,cause,actions,DYNAMIC
"You see,",see,You,CANNOT_DECIDE
the USDA found a loophole,found,USDA,DYNAMIC
allowing these protections to be lifted for experimental activities.,allowing,loophole,DYNAMIC
So they applied for the right to spread poison as Dart of a scientific experiment -- to learn,applied,they,DYNAMIC
whether lowering the population of blackbirds by poisoning,lowering,,CANNOT_DECIDE
them will reduce sunflower crop loss.,reduce,lowering,DYNAMIC
Can you believe it?,believe,you,CANNOT_DECIDE
The USDA wants to conduct an experiment,wants,USDA,STATIVE
that will spread enough poison in our environment to kill two million blackbirds.,spread,”,DYNAMIC
And if the death of two million birds doesnt prove their theory --,prove,death,DYNAMIC
and show a reduction in crop loss --,show,”,DYNAMIC
theyll likely seek the right to kill even more birds the next year!,’ll,they,DYNAMIC
"Its time to tell the USDA, in no uncertain terms:",tell,time,STATIVE
YOU WILL NOT CONDUCT MASSIVE BIRD KILLS,NOT,tell,DYNAMIC
TO BENEFIT A HANDFUL OF SPECIAL INTERESTS!,”,time,CANNOT_DECIDE
"Because the USDAs slow-acting pesticide takes three days to kill, its victims will likely fly many miles from the poisoned fields, before falling to the ground.",fly,victims,DYNAMIC
"Meanwhile,blackbirds arent the only birds",n’t,blackbirds,STATIVE
threatened directly by the poison.,threatened,birds,STATIVE
Weve noted the presence of 68 other species of grassland songbirds in the proposed poison-baited areas ...,noted,We,DYNAMIC
"including the Bobolink, Grasshopper Sparrow, Harris Sparrow and Le Contes Sparrow.",including,,STATIVE
"In all, nine birds on the Federal threatened or endangered lists and 11 birds on Audubons WatchList of imperiled species could be found in these killing fields.",found,birds,DYNAMIC
We simply cannot afford to let the government repeat the mistakes of the past ...,afford,We,STATIVE
and operate this deadly and uncontrolled experiment on wildlife.,operate,We,CANNOT_DECIDE
Heres,’s,I,STATIVE
"what I need you to do, to make sure",need,First,STATIVE
"we prevail: First,",prevail,we,DYNAMIC
I need you to sign and return your Petition to the U.S. Secretary of Agriculture.,need,I,STATIVE
"Ill forward your Petition, along with those from thousands of other Audubon members and supporters, urging the USDA to withdraw its cruel plan to poison blackbirds ... in favor of alternative, benign methods of protecting sunflower crops.",’ll,I,DYNAMIC
I can assure you,assure,I,DYNAMIC
that thousands of Audubon Petitions can make a difference,make,thousands,DYNAMIC
-- just as they did in a successful battle against an adverse wetlands proposal a few years ago!,did,they,DYNAMIC
But todays battle is one,is,battle,STATIVE
we must win ... to block a dangerous experiment,win,we,DYNAMIC
that would begin to erase 50 years of steady progress,begin,experiment,DYNAMIC
eliminating pesticides and other harmful chemicals from our environment.,eliminating,years,DYNAMIC
Thats,’s,That,STATIVE
"why I hope youll also agree to help even more by making a tax-deductible gift to support this crucial initiative and all of Audubons vital conservation work to protect birds, other wildlife and habitat.",hope,I,STATIVE
"And with a donation of $15 or more, youll receive a FREE Birdfeeder in appreciation for your concern.",receive,you,DYNAMIC
Ill make sure,make,I,DYNAMIC
your gift is put right to work in our efforts to:,put,gift,DYNAMIC
Win a ban on the USDA bird poisoning.,,,CANNOT_DECIDE
Gain strict enforcement of wildlife laws.,,,CANNOT_DECIDE
Ensure wildlife programs are based on sound science.,based,programs,CANNOT_DECIDE
Monitor the health of Audubons WatchList species.,Monitor,·,CANNOT_DECIDE
Conserve Americas remaining grassland habitat.,’s,America,CANNOT_DECIDE
And Audubon will draw upon its century-long track record of highly effective conservation work to make a real difference in other key areas:,draw,Audubon,DYNAMIC
Audubon protects birds.,protects,difference,DYNAMIC
Your help will be instrumental to our bird conservation work:,be,help,STATIVE
designating Important Bird Areas to protect vital habitat ... maintaining the WatchList of bird species near endangered status (www.audubon.org/ bird/watch) ... and engaging citizen participation in the vast BirdSource database of North American bird trends.,designating,,DYNAMIC
Audubon rescues endangered wildlife.,rescues,Audubon,DYNAMIC
"Nearly 25 years ago, the National Audubon Society helped win passage of the Endangered Species Act.",helped,Society,DYNAMIC
"With your help, Audubon will remain committed to wildlife laws and regulations",remain,Audubon,STATIVE
"that are well funded, properly implemented, and strongly enforced.",funded,regulations,STATIVE
Audubon establishes and protects wildlife refuges and sanctuaries.,establishes,Audubon,DYNAMIC
Audubon is truly making a difference for wildlife refuges everywhere,making,Audubon,DYNAMIC
says U.S. Fish and Wildlife official Rick Coleman.,says,refuges,DYNAMIC
"And your support will help sustain our innovative Audubon Refuge Keepers program,",help,support,DYNAMIC
and maintain our own network of more than 100 wildlife centers and sanctuaries.,maintain,,CANNOT_DECIDE
Audubon restores wetlands.,restores,Audubon,DYNAMIC
Wetlands are not only crucial to wildlife ... they also help purify our drinking water,are,Wetlands,STATIVE
and prevent billions of dollars worth of flood damage.,prevent,help,CANNOT_DECIDE
Your gift today will help us reach our goal to restore one million acres of irreplaceable wetlands.,help,today,DYNAMIC
Audubon educates the public.,educates,Audubon,DYNAMIC
Teaching Americans --particularly young people --,Teaching,,CANNOT_DECIDE
how to become better stewards of our environment is one of the best investments,is,Americans,STATIVE
that you and I can make for wildlife.,make,I,DYNAMIC
Thats why were expanding our network of Audubon Centers to reach children and adults in every corner of the nation.,’s,That,STATIVE
"And of course, your support will enable Audubon to stand ready to act",enable,support,DYNAMIC
whenever a wildlife crisis emerges,emerges,crisis,DYNAMIC
--like the USDAs bird poisoning proposal that Im asking you to help us defeat today!,’m,I,DYNAMIC
So let me urge you to do your part by supporting a group,let,,CANNOT_DECIDE
that the San Francisco Chronicle calls one of Americas most respected and influential conservation organizations.,calls,group,DYNAMIC
"First,sign and return your Petition to the Secretary of Agriculture immediately, to declare a firm and resounding NO! to the USDAs bird poisoning plan.",sign,First,CANNOT_DECIDE
"And I also hope youll take a second important step today,",hope,I,STATIVE
by supporting Audubons vital conservation work with a generous tax-deductible gift.,supporting,I,DYNAMIC
Thank you.,Thank,,CANNOT_DECIDE
"Very truly yours,",,,CANNOT_DECIDE
John Flicker,,,CANNOT_DECIDE
President,,,CANNOT_DECIDE
"P.S.Your gift will help us save birds, other wildlife and their habitat for future generations to cherish.",help,gift,DYNAMIC
"And in thanks for your gift of $15 or more, you 11 receive a FREE Birdfeeder.",receive,you,DYNAMIC
Supplies are limited ... so please respond today!,are,Supplies,STATIVE
