Clause,mainVerb,mainReferent,Gold
Pacu (paku),,,CANNOT_DECIDE
is a common name,is,Pacu,STATIVE
used to refer to several common species of omnivorous South American freshwater fish,used,name,DYNAMIC
that are related to the piranha.,related,species,STATIVE
"Pacu and piranha do not have similar teeth, the main difference being jaw alignment;",have,Pacu,STATIVE
"piranha have pointed, razor-sharp teeth in a pronounced underbite,",have,piranha,STATIVE
"whereas pacu have squarer, straighter teeth, like a human, and a less severe underbite, or a slight overbite.",have,pacu,STATIVE
"Additionally, full-grown pacu are much larger than piranha,",are,pacu,STATIVE
reaching up to 0.9 m,reaching,,DYNAMIC
(3 feet) and 25 kg (55 pounds) in the wild.,,,CANNOT_DECIDE
Pacu is a term of Brazilian Indian origin.,is,Pacu,STATIVE
"When the large fish of the Colossoma genus entered the aquarium trade in the U.S. and other countries,",entered,fish,DYNAMIC
they were erroneously labeled pacu.,labeled,they,DYNAMIC
"In the Amazon, the term pacu is reserved to smaller and medium sized fish in the Metynnis, Mylossoma and Myleus genera.",reserved,pacu,STATIVE
"The Colossoma macropomum fish are known as tambaqui,",known,fish,STATIVE
whereas Piaractus brachypomus is known as pirapitinga.,known,brachypomus,STATIVE
== Classification ==,,,CANNOT_DECIDE
"Pacu, along with their piranha cousins, are a characin fish,",are,,STATIVE
"meaning a kind of tetra,",meaning,fish,STATIVE
belonging to the Characiformes order.,belonging,kind,STATIVE
"The ongoing classification of these fish is difficult and often contentious, with ichthyologists basing ranks according to characteristics",is,classification,STATIVE
that may overlap irregularly,overlap,characteristics,STATIVE
(see Cladistics).,see,,CANNOT_DECIDE
DNA research sometimes confounds,confounds,research,DYNAMIC
rather than clarifies species ranking.,clarifies,research,STATIVE
"Ultimately, classifications can be rather arbitrary.",be,classifications,STATIVE
"Pacu, along with piranha, are currently further classified into the Serrasalminae subfamily.",classified,Pacu,STATIVE
"Serrasalminae means ""serrated salmon family""",means,Serrasalminae,STATIVE
and is a name,is,,STATIVE
which refers to the serrated keel running along the belly of these fish.,refers,name,STATIVE
"However, dental characteristics and feeding habits further separate the two groups from each other.",separate,characteristics,DYNAMIC
Each of these groups contain one or more separate species.,contain,Each,STATIVE
"For example, the fish often found in pet stores",found,fish,DYNAMIC
"known as the ""Black Pacu"" and the ""Red-bellied Pacu""",known,stores,STATIVE
"belong to the species Colossoma macropomum and Piaractus brachypomus, respectively.",belong,fish,STATIVE
"A species popular among aquaculturists is the Piaractus mesopotamicus,",is,species,STATIVE
"also known as ""Paran River Pacu"".",known,mesopotamicus,STATIVE
==Location and habitat==,,,CANNOT_DECIDE
"Pacus inhabit most rivers and streams in the Amazon and Orinoco river basins of lowland Amazonia,",inhabit,Pacus,STATIVE
where they form part of the highly diverse Neotropical fish fauna.,form,they,STATIVE
"They have also recently been found in the riverine systems of Papua New Guinea,",found,They,DYNAMIC
where it is believed,believed,it,STATIVE
the fish has been introduced to aid the local fishing industry.,introduced,fish,DYNAMIC
"In August 2013 a Pacu was discovered in Scandinavian waters,",discovered,Pacu,DYNAMIC
a fisherman pulled a 21 cm,pulled,fisherman,DYNAMIC
(8.27 inch) specimen from resund Sound off Sweden's south coast.,,,CANNOT_DECIDE
"An angler fishing on the river Seine in Paris, France caught a Pacu on 30 August 2013.",caught,fishing,DYNAMIC
==Importance to humans==,,,CANNOT_DECIDE
=== Aquaria ===,,,CANNOT_DECIDE
"Pacu are commonly sold as ""Vegetarian Piranhas"" to home aquarium owners.",sold,Pacu,DYNAMIC
"With the proper equipment and commitment, pacu have been known to make responsive pets.",known,pacu,STATIVE
"One such example was Swish, a 75-cm",was,example,STATIVE
(30-inch) pacu,,,CANNOT_DECIDE
owned for over 20 years by a Chinese restaurant (Kau Kau),owned,pacu,STATIVE
"in the Chinatown district in Seattle, Washington; one aquarium technician said of Swish,",said,technician,DYNAMIC
"""He'd rub his body on your arms, kind of like a dog.""",rub,He,DYNAMIC
"However, there is some question of whether the fish are a good choice for the typical hobbyist.",is,question,STATIVE
"While they are not aggressive carnivores like the piranha, their crushing jaw system,",are,they,STATIVE
"used primarily for eating seeds and nuts,",used,system,DYNAMIC
can be hazardous.,be,system,STATIVE
One toddler needed surgery after a pacu,needed,toddler,DYNAMIC
(misreported as a piranha) bit her finger at Edinburgh Butterfly and Insect World in Scotland.,bit,pacu,DYNAMIC
"Commenting on the incident,",Commenting,eat,DYNAMIC
"Deep Sea World zoological manager Matthew Kane warned,",warned,Kane,DYNAMIC
"""Pacus will eat anything, even children's wiggling fingers.""",eat,Pacus,DYNAMIC
