Original Clause,Clause,mainVerb,mainReferent,Contrast,predictions,Contrast,Contrast_Labels
"Blackjack, also known as twenty-one,","Blackjack, also called twenty-one,",known,Blackjack,DYNAMIC,['CANNOT_DECIDE'],y,STATIVE
is the most widely played casino banking game in the world.,is the most widely played casino banking game in the world.,is,Blackjack,STATIVE,['STATIVE'],,DYNAMIC
"Blackjack is a comparing card game between a player and dealer,","Blackjack plays as a comparing card game between a player and dealer,",is,Blackjack,DYNAMIC,['STATIVE'],y,STATIVE
meaning,meaning,meaning,game,STATIVE,['CANNOT_DECIDE'],,DYNAMIC
that players compete against the dealer but not against any other players.,that players compete against the dealer but not against any other players.,compete,players,DYNAMIC,['STATIVE'],,STATIVE
It is played with one or more decks of 52 cards.,It contains one or more decks of 52 cards.,played,It,STATIVE,['STATIVE'],y,DYNAMIC
"The object of the game is to ""beat the dealer","The game is won if you ""beat the dealer",is,object,DYNAMIC,['DYNAMIC'],y,STATIVE
"'', which can be done in a number of ways:","'', which can be done in a number of ways:",done,dealer,DYNAMIC,['STATIVE'],,STATIVE
* Get 21 points on the player's first two cards,* Get 21 points on the player's first two cards,Get,object,CANNOT_DECIDE,['STATIVE'],,CANNOT_DECIDE
"(called a blackjack), without a dealer blackjack;","(called a blackjack), without a dealer blackjack;",called,Get,STATIVE,['STATIVE'],,DYNAMIC
* Reach a final score higher than the dealer without exceeding 21; or,* Reach a final score higher than the dealer without exceeding 21; or,exceeding,object,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
* Let the dealer,* Let the dealer,Let,object,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
draw additional cards,draw additional cards,draw,dealer,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
until his or her hand exceeds 21.,until his or her hand exceeds 21.,exceeds,hand,DYNAMIC,['DYNAMIC'],,STATIVE
The player or players are dealt an initial two-card hand,The player or players know that they are dealt an initial two-card hand,dealt,players,STATIVE,['DYNAMIC'],y,DYNAMIC
and add together the value of their cards.,and add together the value of their cards.,add,player,DYNAMIC,['CANNOT_DECIDE'],,STATIVE
"Face cards (kings, queens, and jacks)","Face cards (kings, queens, and jacks)",,,CANNOT_DECIDE,['CANNOT_DECIDE'],,CANNOT_DECIDE
are counted as ten points.,are counted as ten points.,counted,cards,DYNAMIC,['DYNAMIC'],,STATIVE
A player and the dealer can count his or her own ace as 1 point or 11 points.,A player and the dealer want his or her own ace as 1 point or 11 points.,count,dealer,STATIVE,['STATIVE'],y,DYNAMIC
All other cards are counted as the numeric value,All other cards appear as the numeric value,counted,cards,STATIVE,['STATIVE'],y,DYNAMIC
shown on the card.,shown on the card.,shown,value,STATIVE,['STATIVE'],,DYNAMIC
"After receiving their initial two cards, players have the option of getting a ""hit"",","After receiving their initial two cards, players may pursue the option of getting a ""hit"",",have,players,DYNAMIC,['DYNAMIC'],y,STATIVE
