Clause,mainVerb,mainReferent,Gold
The horse (Equus ferus caballus),,,CANNOT_DECIDE
is one of two extant subspecies of Equus ferus.,is,horse,STATIVE
It is an odd-toed ungulate mammal,is,It,STATIVE
belonging to the taxonomic family Equidae.,belonging,mammal,STATIVE
"The horse has evolved over the past 45 to 55 million years from a small multi-toed creature into the large, single-toed animal of today.",evolved,horse,DYNAMIC
"Humans began to domesticate horses around 4000 BC,",began,Humans,DYNAMIC
and their domestication is believed to have been widespread by 3000 BC.,believed,Humans,STATIVE
"Horses in the subspecies caballus are domesticated,",domesticated,Horses,STATIVE
although some domesticated populations live in the wild as feral horses.,live,populations,STATIVE
"These feral populations are not true wild horses,",are,populations,STATIVE
as this term is used to describe horses,used,term,DYNAMIC
"that have never been domesticated, such as the endangered Przewalski's horse, a separate subspecies, and the only remaining true wild horse.",domesticated,horses,DYNAMIC
"There is an extensive, specialized vocabulary",is,vocabulary,STATIVE
"used to describe equine-related concepts, covering everything from anatomy to life stages, size, colors, markings, breeds, locomotion, and behavior.",used,vocabulary,DYNAMIC
Horses' anatomy enables them to make use of speed to escape predators,enables,anatomy,DYNAMIC
and they have a well-developed sense of balance and a strong fight-or-flight response.,have,anatomy,STATIVE
Related to this need to flee from predators in the wild is an unusual trait:,is,Related,STATIVE
horses are able to sleep both standing up,are,horses,STATIVE
and lying down.,lying,both,STATIVE
"Female horses, called mares,",called,horses,STATIVE
"carry their young for approximately 11 months,",carry,horses,DYNAMIC
"and a young horse, called a foal,",called,horse,STATIVE
can stand and run shortly following birth.,stand,horses,DYNAMIC
Most domesticated horses begin training under saddle or in harness between the ages of two and four.,begin,horses,DYNAMIC
"They reach full adult development by age five,",reach,They,DYNAMIC
and have an average lifespan of between 25 and 30 years.,have,They,STATIVE
Horse breeds are loosely divided into three categories,divided,breeds,STATIVE
based on general temperament,based,,STATIVE
": spirited ""hot bloods"" with speed and endurance;",,,CANNOT_DECIDE
"""cold bloods"", such as draft horses and some ponies, suitable for slow, heavy work; and ""warmbloods"", developed",developed,categories,DYNAMIC
"from crosses between hot bloods and cold bloods,",,,CANNOT_DECIDE
"often focusing on creating breeds for specific riding purposes, particularly in Europe.",focusing,categories,DYNAMIC
"There are more than 300 breeds of horse in the world today,",are,breeds,STATIVE
developed for many different uses.,developed,breeds,STATIVE
"Horses and humans interact in a wide variety of sport competitions and non-competitive recreational pursuits, as well as in working activities such as police work, agriculture, entertainment, and therapy.",interact,Horses,DYNAMIC
"Horses were historically used in warfare,",used,Horses,DYNAMIC
"from which a wide variety of riding and driving techniques developed,",developed,variety,DYNAMIC
using many different styles of equipment and methods of control.,using,,DYNAMIC
"Many products are derived from horses,",derived,products,DYNAMIC
"including meat, milk, hide, hair, bone, and pharmaceuticals",including,,STATIVE
extracted from the urine of pregnant mares.,extracted,pharmaceuticals,DYNAMIC
"Humans provide domesticated horses with food, water and shelter, as well as attention from specialists such as veterinarians and farriers.",provide,Humans,DYNAMIC
==Biology==,,,CANNOT_DECIDE
"Specific terms and specialized language are used to describe equine anatomy, different life stages, colors and breeds.",used,terms,DYNAMIC
===Lifespan and life stages===,,,CANNOT_DECIDE
"Depending on breed, management and environment, the modern domestic horse has a life expectancy of 25 to 30 years.",Depending,,STATIVE
"Uncommonly, a few animals live into their 40s and, occasionally, beyond.",live,animals,STATIVE
"The oldest verifiable record was ""Old Billy"", a 19th-century horse",was,record,STATIVE
that lived to the age of 62.,lived,horse,DYNAMIC
"In modern times, Sugar Puff, who had been listed in Guinness World Records as the world's oldest living pony,",listed,Puff,DYNAMIC
died in 2007 at age 56.,died,Puff,DYNAMIC
"Regardless of a horse or pony's actual birth date, for most competition purposes a year is added to its age each January 1 of each year in the Northern Hemisphere and each August 1 in the Southern Hemisphere.",added,year,DYNAMIC
"The exception is in endurance riding,",is,exception,STATIVE
where the minimum age to compete is based on the animal's actual calendar age.,based,age,STATIVE
The following terminology is used to describe horses of various ages:,used,terminology,STATIVE
* Colt: a male horse under the age of four.,,,CANNOT_DECIDE
"A common terminology error is to call any young horse a ""colt"",",is,error,STATIVE
when the term actually only refers to young male horses.,refers,term,STATIVE
* Filly: a female horse under the age of four.,,,CANNOT_DECIDE
* Foal: a horse of either sex less than one year old.,,,CANNOT_DECIDE
A nursing foal is sometimes called a suckling,called,foal,DYNAMIC
and a foal that has been weaned is called a weanling.,called,foal,STATIVE
"Most domesticated foals are weaned at five to seven months of age,",weaned,foals,DYNAMIC
although foals can be weaned at four months with no adverse physical effects.,weaned,foals,DYNAMIC
* Gelding: a castrated male horse of any age.,,,CANNOT_DECIDE
* Mare: a female horse four years old and older.,,,CANNOT_DECIDE
* Stallion: a non-castrated male horse four years old and older.,,,CANNOT_DECIDE
"The term ""horse"" is sometimes used colloquially to refer specifically to a stallion.",used,horse,DYNAMIC
