Clause,mainVerb,mainReferent,Gold
Fermentation: The Daily Wine Blog,,,CANNOT_DECIDE
Eminent Domain Used To Usurp Wine Label Real Estate,Used,Domain,DYNAMIC
"I was disappointed,",was,I,STATIVE
"though not surprised, to see that today a conjunctive labeling law dictating",see,I,CANNOT_DECIDE
"that ""Sonoma County"" be placed on every label",placed,County,CANNOT_DECIDE
on wines produced from grapes,produced,wines,STATIVE
grown in Sonoma County was unanimously passed by the California Legislature .,passed,conjunctive,DYNAMIC
"Pushed as an effort to promote ""Sonoma County"" wines and a consumer education effort, the new law instead forces vintners to needlessly sully their package",forces,law,STATIVE
and undermines their own marketing efforts.,undermines,vintners,STATIVE
"Yet, the law does nothing to educate consumers.",does,law,DYNAMIC
"Passed unanimously out of the California Assembly and Senate,",Passed,AB,DYNAMIC
"AB 1798 now awaits the Governor's signature,",awaits,AB,STATIVE
which it will surely obtain.,obtain,it,DYNAMIC
"According to Noreen Evans, an Assembly sponsor of the bill,",According,,STATIVE
"this new conjunctive labeling law ""requires",requires,conjunctive,STATIVE
that any wine labeled with an American Viticultural Area,labeled,wine,STATIVE
(AVA) located entirely within Sonoma County -  like Russian River Valley or Dry Creek Valley -,located,Area,STATIVE
"must also include the word ""Sonoma County"" on the label,",include,wine,STATIVE
starting in 2014.,starting,County,DYNAMIC
"There are 13 AVAs in Sonoma County.""",are,AVAs,STATIVE
"The problem, of course, is that by placing the words ""Sonoma County"" on a bottle of wine",is,problem,STATIVE
"that is made with grapes grown in ""Russian River Valley"",",made,bottle,STATIVE
"""Dry Creek Valley"", ""Sonoma Valley"" or any other AVA in SonomaSonoma County"" have any single distinguishing feature",have,Valley,STATIVE
derived from the fact,derived,feature,CANNOT_DECIDE
that they were grown inside the borders of Sonoma County.,grown,they,DYNAMIC
"County, consumers learn absolutely nothing about the wine in the bottle.",learn,consumers,DYNAMIC
"There no evidence that grapes grown in "" Assemblywoman Evans concludes,",concludes,evidence,DYNAMIC
"""By improving consumer education on each bottle, conjunctive labeling will unleash the full potential of our delicious wines to represent Sonoma around the world.""",unleash,labeling,DYNAMIC
She's correct.,'s,She,STATIVE
"Beginning in 2014,",Beginning,,DYNAMIC
"""Sonoma County"" will receive a tremendous boost in recognition due to the conjunctive labeling law",receive,County,DYNAMIC
that forces vintners to add more wording to their labelswhether,vintners,law,STATIVE
they think,think,—,STATIVE
"the words ""Sonoma County"" help or hurt their marketing efforts.",help,receive,DYNAMIC
"Frankly, if I was making high end wine from the ""Sonoma Valley"", ""Sonoma Mountain"" or ""Sonoma Coast"" AVAs",AVAs,Mountain,DYNAMIC
that depended in part on the quality recognition,depended,that,STATIVE
"that comes wtih these AVAs,",comes,recognition,DYNAMIC
I'd be pissed,pissed,I,STATIVE
that I'm forced now to put a place-name on my label,forced,I,STATIVE
that told my buyers nothing of real value about the wine behind my label,told,place-name,DYNAMIC
"and, in some cases, demonstrably lowered its perceived quality.",lowered,I,DYNAMIC
"Honore Comfort, Executive Director of the Sonoma County Vintners Association and an outstanding representative for Sonoma County wines noted this: "".",noted,wines,DYNAMIC
"""This moment ...marks the beginning of a stronger Sonoma County brand",marks,moment,DYNAMIC
"for generations to come.""",come,brand,CANNOT_DECIDE
Proponents of the new Sonoma County Conjunctive labeling law like to point to a similar law,like,Proponents,STATIVE
"that demands ""Napa Valley""",,,STATIVE
be placed on all wines,placed,Valley,CANNOT_DECIDE
that are made from grapes,made,wines,STATIVE
"grown in that appellation, rather than simply using a sub appellation.",grown,grapes,STATIVE
They point to the prestige,point,They,DYNAMIC
"that the ""Napa Valley"" designation carries.",carries,designation,STATIVE
But this prestige has nothing to due with the law,has,prestige,STATIVE
