Clause,mainVerb,mainReferent,Gold
Amanda Bates,,,CANNOT_DECIDE
"November 11, 2008",,,CANNOT_DECIDE
Madame White Snake: East Asian Femme Fatale of Old,,,CANNOT_DECIDE
"The Chinese legend of Madame White Snake, the snake demon that takes human form and becomes the wife of a man, has exerted a lasting influence over East Asian folktales and fiction for centuries.",exerted,Bates,DYNAMIC
"Two quintessential novellas, The Lust of the White Serpant from Ugetsu Monogatari by the Japanese author Ueda Akinari and Eternal Prisoner under Thunder Peak Pagoda a traditional Chinese story, are both relatively complex",are,novellas,STATIVE
and demonstrate not only,demonstrate,novellas,STATIVE
"the evolution of the White Snake figure to become a more believable human, but also",figure,demonstrate,CANNOT_DECIDE
what aspects may have given her enduring appeal.,given,novellas,DYNAMIC
"While both these stories are ostensibly morality tales about the dangerous beauty of this femme fatale, the true source of pleasure from these narratives is the femme fatales transgressive behavior, not her eventual punishment for it.",is,source,STATIVE
"Early tales of Madame White Snake appeared in China as early as the Song Dynasty, and initially her portrayal was fairly direct, as a villainous demon",appeared,tales,DYNAMIC
who drains the life force out of her human husband.,drains,demon,DYNAMIC
"Lai, Whalen.",,,CANNOT_DECIDE
"""From Folklore to Literate Theater: Unpacking ""Madame White Snake"".""",Madame,Unpacking,CANNOT_DECIDE
"Asian Folklore Studies 51, no. 1 (1992): 52.",,,CANNOT_DECIDE
"But over time, characterizations of her became more complex,",became,characterizations,DYNAMIC
"and the persona of Madame White Snake became more sympathetic, and perhaps even a model of the ideal Confucian wife, particularly in Pagoda.",became,characterizations,DYNAMIC
"Whalen Lai notes,",,,DYNAMIC
"She was a loving wife, a caring mother, rescuer of her family from the first flood, and, at that point, a general benefactor of man.",was,notes,STATIVE
"She took on the virtues of a traditional Chinese female, particularly forbearance.",took,She,DYNAMIC
"Ibid., 53.",,,CANNOT_DECIDE
"But if she were really an ideal wife, why could she not live happily with her human mate?",live,she,CANNOT_DECIDE
Her dangerous sexuality is the key.,is,sexuality,STATIVE
Femme fatale might seem an unusual term to apply to a character from pre-modern Chinese and Japanese literature,seem,fatale,STATIVE
"who may exemplify the virtues of an ideal Confucian wife,",exemplify,Chinese,STATIVE
"since it is primarily associated with film characters, particularly those of the film noir genre.",associated,it,STATIVE
"But this term, which is relatively speaking, a neologism",is,term,STATIVE
"(The earliest uses were around the beginning of the 20th century Oxford English Dictionary, Femme,  Oxford University Press, http://dictionary.oed.com/cgi/entry/50083541/50083541se3?single",were,,STATIVE
=1&query_type=,,,CANNOT_DECIDE
word&queryword,,,CANNOT_DECIDE
