Clause,mainVerb,mainReferent,Gold
Message-ID: <5100559.1075860488776.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Wed, 1 Nov 2000 11:49:00 -0800 (PST)",,,CANNOT_DECIDE
From: michelle.cash@enron.com,,,CANNOT_DECIDE
To: felecia.acevedo@enron.com,,,CANNOT_DECIDE
Subject: Privileged and Confidential communication to my attorneys,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
"Felicia, Does this sound right to you?",Does,Message-ID,CANNOT_DECIDE
Just wanted to confirm.,wanted,Just,STATIVE
Thanks.,,,CANNOT_DECIDE
Michelle,,,CANNOT_DECIDE
---------------------- Forwarded by Michelle Cash/HOU/ECT on 11/01/2000 07:48,,,DYNAMIC
PM ---------------------------,,,CANNOT_DECIDE
HThomas@gspcorp.com on 11/01/2000 07:19:00 PM,PM,Forwarded,CANNOT_DECIDE
"To: michelle.cash@enron.com, david.oxley@enron.com,","michelle.cash@enron.com,",we,CANNOT_DECIDE
peter.del.vecchio@enron.com,,,CANNOT_DECIDE
"cc: david.howe@enron.com, fran.mayes@enron.com",,,CANNOT_DECIDE
Subject: Privileged and Confidential communication to my attorneys,,,CANNOT_DECIDE
"Michelle and Peter, we (GSP)",,,CANNOT_DECIDE
have determined,determined,we,DYNAMIC
that we are not a federal government contractor.,are,we,STATIVE
"Based on feedback from GSP employees,",Based,,STATIVE
we do sell newsprint to printers,sell,we,DYNAMIC
"who print material for the federal government,",print,printers,DYNAMIC
"but we are a 'second-tier' contractor, not a 'first-tier' contractor.",are,we,STATIVE
"(Pat McCarthy, the local employment law attorney that I have been using, used these terms",used,McCarthy,DYNAMIC
when David Howe and i talked to him today.),talked,Howe,DYNAMIC
Pat informed us,informed,Pat,DYNAMIC
that second-tier contractors do not have to abide by all the federal government requirements for contractors.,have,contractors,STATIVE
"Based on this, GSP does not plan to file EEO-1 reports",Based,,STATIVE
or prepare affirmative action plans.,prepare,GSP,CANNOT_DECIDE
"In addition, we do not feel",feel,we,STATIVE
that we are subject to an OFCCP audit.,are,we,STATIVE
"Michelle, since you left me the voicemail",left,you,DYNAMIC
telling me,telling,voicemail,DYNAMIC
"that we are not included in the Enron EEO-1,",included,we,STATIVE
i assume,assume,Michelle,STATIVE
that also means,means,that,STATIVE
that Enron's status as a government contractor does not force us to prepare EEO-1 and AAPs.,force,status,DYNAMIC
Please advise us,advise,,CANNOT_DECIDE
if you feel,feel,you,STATIVE
we have made incorrect assumptions on any of this.,made,we,DYNAMIC
Hoyt,,,CANNOT_DECIDE
