Clause,mainVerb,mainReferent,Gold
"TUESDAY, AUGUST 03, 2004",,,CANNOT_DECIDE
Captured Moments,,,CANNOT_DECIDE
Published in Double Feature by Emma Bull and Will Shetterly,Published,Moments,DYNAMIC
"(NESFA Press, 1994).",,,CANNOT_DECIDE
This work is hereby released into the Public Domain.,is,work,DYNAMIC
"To view a copy of thepublic domain dedication,",view,Way,CANNOT_DECIDE
"visit http://creativecommons.org/licenses/publicdomain/ or send a letter to Creative Commons, 559 Nathan Abbott Way, Stanford, California 94305, USA.",visit,Way,CANNOT_DECIDE
Captured Moments by Will Shetterly,,,CANNOT_DECIDE
"I remember Papa's stopbox, a teal blue Tiempo Capturado",remember,Moments,STATIVE
that Mama brought homefor his birthday.,brought,Mama,DYNAMIC
"It was huge and inefficient,",was,It,STATIVE
and she should never have spent,spent,It,DYNAMIC
"so many pesos on a toy, but Papa would not let her return it.",let,It,DYNAMIC
"He used it to preserve baby tomatoes, cucumbers, and strawberries in translucent cubes",used,He,DYNAMIC
that he stored in the pantry for spring-time meals in the middle of winter.,stored,he,DYNAMIC
"Mama kept her mink jacket, a family hand-me-down, safe from time in a stopbox,",kept,Mama,STATIVE
and lent the capturador to my uncle for his stamp collection.,lent,Mama,DYNAMIC
Sometimes they would let us,let,they,DYNAMIC
little ones to seal a treasured toy or a last piece of birthday cake,seal,us,CANNOT_DECIDE
"until we begged them for its release, usually a few hours after enclosing it.",begged,we,DYNAMIC
"When my father died, a year after my mother, my sisters and I cleaned out theirapartment.",died,father,DYNAMIC
We found our baby shoes protected in stopboxes.,found,We,DYNAMIC
"I took mine home,",took,I,DYNAMIC
where they sat above my computer,sat,they,STATIVE
while I worked on my first play.,worked,I,DYNAMIC
One night when I did not believe,believe,I,STATIVE
"love had ever existed for anyone,",existed,love,STATIVE
"I used my own capturador, a sleek titanium Sanyo Tardar Ahora, to undo the stopbox.",used,I,DYNAMIC
"Bringing my face close to the shoes,",Bringing,I,DYNAMIC
I breathed deeply of air,breathed,I,DYNAMIC
that my parents had trapped,trapped,parents,DYNAMIC
while closing up that symbol of their love for me.,closing,,DYNAMIC
The instant would have been improved,improved,instant,DYNAMIC
had my baby shoes been cleaned,cleaned,shoes,DYNAMIC
before theywere encased.,,,DYNAMIC
"But as soon as I coughed,",coughed,I,DYNAMIC
"I laughed,",laughed,I,DYNAMIC
and I did not try to kill myself that night.,try,I,DYNAMIC
Let me begin again.,Let,,CANNOT_DECIDE
I like life on the resort worlds --,like,I,STATIVE
"always have and, after the upcomingmindwipe, always will.",have,like,STATIVE
