Clause,mainVerb,mainReferent,Gold
The shoebill (Balaeniceps rex),,,CANNOT_DECIDE
"also known as whalehead or shoe-billed stork, is a very large stork-like bird.",is,shoebill,STATIVE
It derives its name from its massive shoe-shaped bill.,derives,It,STATIVE
Although it has a somewhat stork-like overall form,has,it,STATIVE
"and has previously been classified in the order Ciconiiformes, its true affiliations with other living birds is ambiguous.",is,affiliations,STATIVE
Some authorities now reclassify it with the Pelecaniformes.,reclassify,authorities,STATIVE
The adult is mainly grey,is,adult,STATIVE
while the juveniles are browner.,are,juveniles,STATIVE
It lives in tropical east Africa in large swamps from Sudan to Zambia.,lives,It,STATIVE
==Taxonomy and systematics==,,,CANNOT_DECIDE
The shoebill was only classified in the 19th century,classified,shoebill,DYNAMIC
when some skins were brought to Europe.,brought,skins,DYNAMIC
It was not until years later,was,,STATIVE
that live specimens reached the scientific community.,reached,specimens,DYNAMIC
"However, the bird was known to both ancient Egyptians and Arabs.",known,bird,STATIVE
"Traditionally allied with the storks (Ciconiiformes), it was retained there in the Sibley-Ahlquist taxonomy",retained,it,STATIVE
"which lumped a massive number of unrelated taxa into their ""Ciconiiformes"".",lumped,taxonomy,DYNAMIC
"More recently, the shoebill has been considered to be closer to the pelicans",considered,shoebill,STATIVE
(based on anatomical comparisons) or the herons,based,pelicans,STATIVE
"(based on biochemical evidence; Hagey et al., 2002).",based,,STATIVE
A recent DNA study suggests,suggests,study,DYNAMIC
they are part of the Pelecaniformes.,are,they,STATIVE
"The dispute has turned out to be mainly one of where to draw the boundary between Ciconiiformes and Pelecaniformes,",turned,dispute,DYNAMIC
or whether to draw it at all.,draw,dispute,CANNOT_DECIDE
"Since cormorants and relatives are probably not actually Pelecaniformes, a solution",are,,STATIVE
"adopted by some modern authors is to merge the ""core"" Pelecaniformes with the Ciconiiformes.",is,solution,DYNAMIC
"The shoebill and the hammerkop (Scopus umbretta) are the ""missing links""",are,hammerkop,STATIVE
"that connect pelicans and storks,",connect,links,STATIVE
and including the pelican lineage,including,,CANNOT_DECIDE
in the Ciconiiformes expresses this more adequately,expresses,links,DYNAMIC
than other treatments do.,do,treatments,DYNAMIC
"So far, two fossil relatives of the shoebill have been described: Goliathia from the early Oligocene of Egypt and Paludavis from the Early Miocene of the same country.",described,relatives,DYNAMIC
It has been suggested,suggested,It,DYNAMIC
"that the enigmatic African fossil bird Eremopezus was a relative too,",was,Eremopezus,STATIVE
but the evidence for that is unconfirmed.,is,evidence,STATIVE
"All that is known of Eremopezus is that it was a very large, probably flightless bird with a flexible foot,",is,All,STATIVE
allowing it to handle either vegetation or prey.,allowing,bird,STATIVE
==Description==,,,CANNOT_DECIDE
"The shoebill is a tall bird, with a typical height range of 110 to 140 cm (43 to 55 in) and some specimens reaching as much as 152 cm (60 in).",is,in,STATIVE
Length from tail to beak can range from 100 to 140 cm (39 to 55 in) and wingspan is 230 to 260 cm (7 ft 7 in to 8 ft 6 in).,range,Length,STATIVE
Weight has reportedly ranged from 4 to 7 kg (8.8 to 15.4 lb).,ranged,Weight,STATIVE
A male will weigh on average around 5.6 kg (12 lb),weigh,male,STATIVE
