,Clause,origClause,mainVerb,mainReferent,contrastVerb,Contrast,predictions,Strategy
0,SENATE ETHICS PANEL DISAPPROVES OF NEW JERSEY SENATOR’S CONDUCT RELATED TO GIFTS,SENATE ETHICS PANEL ADMONISHES NEW JERSEY SENATOR FOR CONDUCT RELATED TO GIFTS,ETHICS,WASHINGTON,disapproves,STATIVE,['DYNAMIC'],thought
1,WASHINGTON,WASHINGTON,WASHINGTON,Torricelli,,CANNOT_DECIDE,['CANNOT_DECIDE'],
2,"The Senate Ethics Committee on Tuesday night ""severely disapproved of the conduct"" of Sen. Robert G. Torricelli, D-N.J.,","The Senate Ethics Committee on Tuesday night ""severely admonished"" Sen. Robert G. Torricelli, D-N.J.,",,,disapproved,STATIVE,['DYNAMIC'],thought
3,saying,saying,saying,Torricelli,,DYNAMIC,['STATIVE'],
4,he had violated Senate rules by accepting and failing to disclose expensive gifts from a former contributor to whom he repeatedly gave help.,he had violated Senate rules by accepting and failing to disclose expensive gifts from a former contributor to whom he repeatedly gave help.,violated,he,,DYNAMIC,['DYNAMIC'],
5,"On the basis of thousands of pages of information developed in an earlier federal inquiry into Torricelli's activities, the committee wanted him to be condemned for using poor judgment","On the basis of thousands of pages of information developed in an earlier federal inquiry into Torricelli's activities, the committee chastised him for using poor judgment",chastised,committee,wanted,STATIVE,['DYNAMIC'],thought
6,"and disregarding Senate rules in his dealings with the former donor, David Chang.","and disregarding Senate rules in his dealings with the former donor, David Chang.",disregarding,committee,,DYNAMIC,['DYNAMIC'],
7,"""Your actions and failure to act constituted direct violations of Senate rules","""Your actions and failure to act led to violations of Senate rules",act,actions,constituted,STATIVE,['STATIVE'],descriptive
8,"(and related statutes) and created at least the appearance of impropriety,""","(and related statutes) and created at least the appearance of impropriety,""",related,led,,DYNAMIC,['DYNAMIC'],
9,the three Democrats and three Republicans on the committee said in a three-page letter to Torricelli.,the three Democrats and three Republicans on the committee said in a three-page letter to Torricelli.,said,Republicans,,DYNAMIC,['DYNAMIC'],
10,"The ethics panel also agreed to force Torricelli to pay back Chang -- with interest -- for the full value of a large-screen television set and compact-disc player, and for expensive earrings","The ethics panel also ordered Torricelli to pay back Chang -- with interest -- for the full value of a large-screen television set and compact-disc player, and for expensive earrings",ordered,panel,agreed,STATIVE,['DYNAMIC'],thought
11,"that Chang gave to Torricelli's sister, to one of his close aides and to one of Torricelli's former girlfriends.","that Chang gave to Torricelli's sister, to one of his close aides and to one of Torricelli's former girlfriends.",gave,Chang,,DYNAMIC,['DYNAMIC'],
12,The committee’s action appears to take place,The committee's action comes,comes,action,appears,STATIVE,['DYNAMIC'],descriptive
13,six months after federal prosecutors ended a lengthy criminal investigation into Torricelli's activities,six months after federal prosecutors ended a lengthy criminal investigation into Torricelli's activities,ended,prosecutors,,DYNAMIC,['DYNAMIC'],
14,without filing criminal charges.,without filing criminal charges.,,,,DYNAMIC,['CANNOT_DECIDE'],
15,"The ethics panel, knowing the evidence from the criminal case,","The ethics panel, to which evidence from the criminal case was forwarded,",forwarded,evidence,knowing,STATIVE,['DYNAMIC'],thought
16,concluded its review,concluded its review,concluded,panel,,DYNAMIC,['DYNAMIC'],
17,"just as Torricelli is gearing up his campaign for re-election against the Republican candidate, Douglas R. Forrester.","just as Torricelli is gearing up his campaign for re-election against the Republican candidate, Douglas R. Forrester.",gearing,Torricelli,,DYNAMIC,['DYNAMIC'],
18,"After months in which polls showed Torricelli well ahead of his relatively unknown Republican rival, the contest appears closer than ever.","After months in which polls showed Torricelli well ahead of his relatively unknown Republican rival, the contest has narrowed in recent weeks.",narrowed,contest,appears,STATIVE,['DYNAMIC'],descriptive
19,It marked the first time,It was the first time,was,voted,,DYNAMIC,['STATIVE'],insert_verb
20,"that the Senate Ethics Committee had voted to take action against a senator since 1995,","that the Senate Ethics Committee had voted to take action against a senator since 1995,",voted,time,,DYNAMIC,['STATIVE'],
21,when it recommended,when it recommended,recommended,it,,DYNAMIC,['DYNAMIC'],
22,"that Bob Packwood, an Oregon Republican, be expelled on the ground of sexual and official misconduct.","that Bob Packwood, an Oregon Republican, be expelled on the ground of sexual and official misconduct.",expelled,Packwood,,CANNOT_DECIDE,['DYNAMIC'],
23,Packwood is no longer on the committee.,Packwood later resigned.,resigned,Packwood,copula,STATIVE,['STATIVE'],is
24,"Sen. Daniel K. Inouye, D-Hawaii, who was asked to lead the ethics inquiry,","Sen. Daniel K. Inouye, D-Hawaii, who led the ethics inquiry,",led,Inouye,asked,STATIVE,['DYNAMIC'],participant
25,said,said,said,Inouye,,DYNAMIC,['DYNAMIC'],
26,he believed,he believed,believed,he,,STATIVE,['STATIVE'],
27,the investigation was thorough and fair,the investigation was thorough and fair,was,investigation,,STATIVE,['STATIVE'],
28,but would not offer a detailed description of the committee's secret deliberations.,but would not offer a detailed description of the committee's secret deliberations.,offer,investigation,,DYNAMIC,['STATIVE'],
29,"""The document is clear,”","""The document speaks for itself,""",speaks,document,is,STATIVE,['STATIVE'],copula
