Clause,mainVerb,mainReferent,Gold
"The domestic cat (Felis catus or Felis silvestris catus) is a small, usually furry, domesticated, and carnivorous mammal.",is,cat,STATIVE
It is often called the housecat,called,It,DYNAMIC
"when kept as an indoor pet,",kept,,STATIVE
or simply the cat when there is no need to distinguish it from other felids and felines.,is,need,STATIVE
"Cats are often valued by humans for companionship, and their ability to hunt vermin and household pests.",valued,Cats,STATIVE
"Cats are similar in anatomy to the other felids, with strong, flexible bodies, quick reflexes, sharp retractable claws, and teeth",are,Cats,STATIVE
adapted to killing small prey.,adapted,teeth,STATIVE
Cat senses fit a crepuscular and predatory ecological niche.,fit,senses,STATIVE
"Cats can hear sounds too faint or too high in frequency for human ears, such as those",hear,Cats,DYNAMIC
made by mice and other small animals.,made,those,DYNAMIC
They can see in near darkness.,see,They,DYNAMIC
"Like most other mammals, cats have poorer color vision and a better sense of smell than humans.",have,cats,STATIVE
"Despite being solitary hunters, cats are a social species,",are,cats,STATIVE
"and cat communication includes the use of a variety of vocalizations (mewing, purring, trilling, hissing, growling and grunting) as well as cat pheromones, and types of cat-specific body language.",includes,species,STATIVE
Cats have a rapid breeding rate.,have,Cats,STATIVE
"Under controlled breeding, they can be bred and shown as registered pedigree pets, a hobby",bred,they,DYNAMIC
known as cat fancy.,known,hobby,STATIVE
"Failure to control the breeding of pet cats by neutering,",control,Failure,CANNOT_DECIDE
"and the abandonment of former household pets, has resulted in large numbers of feral cats worldwide,",resulted,Failure,DYNAMIC
requiring population control.,requiring,numbers,STATIVE
"Since cats were cult animals in ancient Egypt,",were,cats,STATIVE
"they were commonly believed to have been domesticated there,",believed,they,STATIVE
but there may have been instances of domestication as early as the Neolithic from around 9500 years ago (7500 BC).,been,,STATIVE
A genetic study in 2007 concluded,concluded,study,DYNAMIC
"that domestic cats are descended from African wildcats (Felis silvestris lybica) c. 8000 BC, in West Asia.",descended,cats,STATIVE
"Cats are the most popular pet in the world,",are,Cats,STATIVE
and are now found in almost every place,found,pet,STATIVE
where humans live.,live,humans,STATIVE
==Nomenclature and etymology==,,,CANNOT_DECIDE
The English word cat (Old English catt),,,CANNOT_DECIDE
"is in origin a loanword,",is,Nomenclature,STATIVE
"introduced to many languages of Europe from Latin cattus and Byzantine Greek grc,",introduced,origin,DYNAMIC
"including Portuguese and Spanish gato,",including,,STATIVE
"French chat, German Katze, Lithuanian kat and Old Church Slavonic kotka, among others.",,,CANNOT_DECIDE
"The ultimate source of the word is Afroasiatic, presumably from Late Egyptian aute, the feminine of aus ""wildcat"".",is,source,STATIVE
"The word was introduced, together with the domestic animal itself, to the Roman Republic by the 1st century BC.",introduced,word,DYNAMIC
An alternative word with cognates in many languages is English puss (pussycat).,is,word,STATIVE
"Attested only from the 16th century,",Attested,it,DYNAMIC
"it may have been introduced from Dutch poes or from Low German puuskatte,",introduced,it,DYNAMIC
"related to Swedish kattepus, or Norwegian pus, pusekatt.",related,Low,STATIVE
Similar forms exist in Lithuanian pui and Irish puisn.,exist,forms,STATIVE
"The etymology of this word is unknown,",is,etymology,STATIVE
but it may have simply arisen from a sound,arisen,etymology,DYNAMIC
used to attract a cat.,used,sound,DYNAMIC
"A group of cats is referred to as a ""clowder"" or a ""glaring"", a male cat",referred,group,STATIVE
"is called a ""tom"" or ""tomcat""",called,group,STATIVE
"(or a ""gib"", if neutered), an unaltered female is called a ""queen"",",called,group,STATIVE
"and a pre-pubescent juvenile is referred to as a ""kitten"".",referred,group,STATIVE
"Although spayed females have no commonly used name, in some rare instances immature or spayed females are referred to as a ""molly"".",referred,females,STATIVE
"The male progenitor of a cat, especially a pedigreed cat, is its ""sire"",",is,progenitor,STATIVE
"and its female progenitor is its ""dam"".",is,progenitor,STATIVE
"In Early Modern English, the word kitten was interchangeable with the now-obsolete word catling.",was,kitten,STATIVE
A pedigreed cat is one,is,cat,STATIVE
whose ancestry is recorded by a cat fancier organization.,recorded,ancestry,STATIVE
A purebred cat is one,is,cat,STATIVE
whose ancestry contains only individuals of the same breed.,contains,ancestry,STATIVE
Many pedigreed and especially purebred cats are exhibited as show cats.,exhibited,cats,DYNAMIC
"Cats of unrecorded, mixed ancestry are referred to as domestic short-haired or domestic long-haired cats,",referred,Cats,STATIVE
"by coat type, or commonly as random-bred, moggies (chiefly British), or (using terms",using,short-haired,CANNOT_DECIDE
borrowed from dog breeding) mongrels or mutt-cats.,borrowed,terms,STATIVE
While the African wildcat is the ancestral subspecies,is,wildcat,STATIVE
"from which domestic cats are descended,",are,cats,STATIVE
"and wildcats and domestic cats can completely interbreed, there are several intermediate stages between domestic pet and pedigree cats on the one hand and those entirely wild animals on the other.",are,stages,STATIVE
The semi-feral cat is a mostly outdoor cat,is,cat,STATIVE
"that is not owned by any one individual,",owned,cat,STATIVE
but is generally friendly to people,is,cat,STATIVE
and may be fed by several households.,fed,cat,DYNAMIC
Feral cats are associated with human habitation areas,associated,cats,STATIVE
"and may be fed by people or forage in rubbish,",fed,cats,DYNAMIC
but are typically wary of human interaction.,are,cats,STATIVE
==Taxonomy and evolution==,,,CANNOT_DECIDE
The felids are a rapidly evolving family of mammals,are,Taxonomy,STATIVE
"that share a common ancestor only 1015 million years ago,",share,family,STATIVE
"and include, in addition to the domestic cat, lions, tigers, cougars, and many others.",include,family,STATIVE
"Within this family, domestic cats (Felis catus) are part of the genus Felis,",are,cats,STATIVE
which is a group of small cats,is,Felis,STATIVE
containing approximately seven species,containing,cats,STATIVE
(depending upon classification scheme).,depending,,STATIVE
Members of the genus are found worldwide,found,Members,STATIVE
and include the jungle cat,include,Members,STATIVE
"(Felis chaus) of southeast Asia, European wildcat (F. silvestris silvestris), African wildcat (F. s. lybica), the Chinese mountain cat (F. bieti), and the Arabian sand cat (F. margarita), among others.",silvestris,wildcat,CANNOT_DECIDE
All the cats in this genus share a common ancestor that probably lived around 67 million years ago in Asia.,share,cats,STATIVE
"The exact relationships within the Felidae are close but still uncertain,",are,relationships,STATIVE
e.g.,,,CANNOT_DECIDE
"the Chinese mountain cat is sometimes classified (under the name Felis silvestris bieti) as a subspecies of the wildcat, like the North African variety F. s. lybica.",classified,cat,STATIVE
"As domestic cats are little altered from wildcats,",are,cats,STATIVE
they can readily interbreed.,interbreed,they,DYNAMIC
"This hybridization poses a danger to the genetic distinctiveness of wildcat populations, particularly in Scotland and Hungary, and possibly also the Iberian Peninsula.",poses,hybridization,STATIVE
The domestic cat was first classified as Felis catus by Carolus Linnaeus in the tenth edition of his Systema Naturae in 1758.,classified,cat,DYNAMIC
"However, because of modern phylogenetics, domestic cats are now usually regarded as another subspecies of the wildcat, Felis silvestris.",regarded,cats,STATIVE
"This has resulted in mixed usage of the terms,",resulted,This,DYNAMIC
"as the domestic cat can be called by its subspecies name, Felis silvestris catus.",called,cat,DYNAMIC
"Wildcats have also been referred to as various subspecies of F. catus,",referred,Wildcats,DYNAMIC
but in 2003 the International Commission on Zoological Nomenclature fixed the name for wildcats as F. silvestris.,fixed,Wildcats,DYNAMIC
"The most common name in use for the domestic cat remains F. catus,",remains,name,STATIVE
following a convention for domesticated animals of using the earliest,following,,DYNAMIC
(the senior) synonym proposed.,proposed,,DYNAMIC
"Sometimes the domestic cat has been called Felis domesticus or Felis domestica,",called,cat,DYNAMIC
"as proposed by German naturalist J. C. P. Erxleben in 1777,",proposed,,DYNAMIC
but these are not valid taxonomic names,are,these,STATIVE
"and have been used only rarely in scientific literature,",used,names,DYNAMIC
because Linnaeus's binomial takes precedence.,takes,binomial,STATIVE
Cats have either a mutualistic or commensal relationship with humans.,have,Cats,STATIVE
"However, in comparison to dogs, cats have not undergone major changes during the domestication process,",undergone,cats,DYNAMIC
"as the form and behavior of the domestic cat are not radically different from those of wildcats,",are,form,STATIVE
and domestic cats are perfectly capable of surviving in the wild.,are,cats,STATIVE
This limited evolution during domestication means,means,evolution,STATIVE
"that domestic cats tend to interbreed freely with wild relatives,",tend,cats,STATIVE
distinguishing them from other domesticated animals.,distinguishing,,STATIVE
Fully domesticated house cats also often interbreed with feral F. catus populations.,interbreed,cats,DYNAMIC
"However, several natural behaviors and characteristics of wildcats may have pre-adapted them for domestication as pets.",pre-adapted,behaviors,DYNAMIC
"These traits include their small size, social nature, obvious body language, love of play, and relatively high intelligence;",include,traits,STATIVE
they may also have an inborn tendency towards tameness.,have,they,STATIVE
There are two main theories about how cats were domesticated.,are,theories,STATIVE
"In one, people deliberately tamed cats in a process of artificial selection,",tamed,people,DYNAMIC
as they were useful predators of vermin.,were,they,STATIVE
"However, this has been criticized as implausible,",criticized,this,DYNAMIC
because there may have been little reward for such an effort:,been,,STATIVE
cats generally do not carry out commands,carry,cats,DYNAMIC
"and, although they do eat rodents,",eat,they,DYNAMIC
other species such as ferrets or terriers may be better at controlling these pests.,be,species,STATIVE
The alternative idea is that cats were simply tolerated by people,is,idea,STATIVE
"and gradually diverged from their wild relatives through natural selection,",diverged,cats,DYNAMIC
as they adapted to hunting the vermin,adapted,they,DYNAMIC
found around humans in towns and villages.,found,vermin,STATIVE
There is a population of Transcaucasian Black feral cats,is,population,STATIVE
once classified as Felis daemon,classified,population,DYNAMIC
"(Satunin, 1904), but now this population is considered to be a part of domestic cat.",considered,population,STATIVE
==Genetics==,,,CANNOT_DECIDE
The domesticated cat and its closest wild ancestor are both diploid organisms,are,=,STATIVE
"that possess 38 chromosomes and roughly 20,000 genes.",possess,organisms,STATIVE
"About 250 heritable genetic disorders have been identified in cats, many similar to human inborn errors.",identified,disorders,DYNAMIC
The high level of similarity among the metabolisms of mammals allows many of these feline diseases to be diagnosed using genetic tests,allows,level,STATIVE
"that were originally developed for use in humans, as well as the use of cats as animal models in the study of the human diseases.",developed,tests,DYNAMIC
==Anatomy==,,,CANNOT_DECIDE
"Domestic cats are similar in size to the other members of the genus Felis,",are,Anatomy,STATIVE
typically weighing between .,weighing,,STATIVE
"However, some breeds, such as the Maine Coon, can occasionally exceed 11 kg (25 lb).",exceed,breeds,DYNAMIC
"Conversely, very small cats (less than ) have been reported.",reported,cats,DYNAMIC
The world record for the largest cat is .,is,record,STATIVE
The smallest adult cat ever officially recorded weighed around .,weighed,cat,STATIVE
