Clause,mainVerb,mainReferent,Gold
ALASKA EMERGENCY,,,CANNOT_DECIDE
"Dear Defender,",,,CANNOT_DECIDE
"Look closely at this photo,",Look,Defender,CANNOT_DECIDE
and youll see a wolf ... running.,see,Defender,DYNAMIC
Soon this wolf wont be merely running in the snow.,running,wolf,DYNAMIC
This wolf will be running for its life!,running,wolf,DYNAMIC
The airplane above will be tracking her ... in order to land and immediately gun her down .,tracking,airplane,DYNAMIC
"You see,",see,You,CANNOT_DECIDE
the Alaska legislature passed a law,passed,legislature,DYNAMIC
that once again allows any private citizen with just a $15 trapping or $25 hunting license to track wolves by aircraft and then land and gun them down.,allows,law,STATIVE
"This cruel, unethical wolf-hunting practice is called same-day airborne land-and-shoot.",called,”,STATIVE
It was a total shock and surprise.,was,It,STATIVE
In May the Alaska legislature voted to reinstate same-day airborne wolf killing.,voted,legislature,DYNAMIC
"Frankly, we never thought",thought,we,STATIVE
Alaskas anti-wolf politicians would go this far.,go,politicians,DYNAMIC
"But they did,",did,they,DYNAMIC
overriding Governor Tony Knowles veto ,overriding,,DYNAMIC
and ignoring the will of the majority of Alaskas citizens.,ignoring,,DYNAMIC
"Unfortunately, this practice will begin after the first snow ... this September ...",begin,practice,DYNAMIC
when wolves will be cant-miss targets against Alaskas snowy terrain.,n’t,snow,STATIVE
Wolves can run fast ,run,Wolves,DYNAMIC
but they certainly cant outrun airplanes.,outrun,Wolves,DYNAMIC
"Given the urgency of the situation in Alaska, Defenders needs your immediate assistance to help save Alaskas wolves from same-day airborne land-and-shoot slaughter.",needs,Defenders,STATIVE
Support the Emergency Effort to Save Alaskas Wolves.,Support,,CANNOT_DECIDE
"Defenders hopes to raise at least $100,000 to help Alaskans For Wildlife, a coalition of Alaska citizens, win a citizens ballot initiative this November.",hopes,Defenders,STATIVE
And we face very wealthy opponents.,face,we,STATIVE
"So today, I urge you to do these two things:",urge,I,DYNAMIC
FIRST: Sign the enclosed Citizens Advisory Ballot to show our Alaska allies your strong personal support to reinstate the ban on same-day airborne land-and-shoot,Sign,,CANNOT_DECIDE
wolf killing in Alaska; SECOND:,killing,wolf,CANNOT_DECIDE
Rush an urgent donation to help put this measure on the ballot,Rush,,CANNOT_DECIDE
and win passage in November.,win,you,CANNOT_DECIDE
The Alaska Legislature is completely out of step with the will of Alaskas citizens and the American public at large.,is,Legislature,STATIVE
"Like you, the majority of Alaskans oppose same-day land-and-shoot wolf killing.",oppose,majority,STATIVE
But the anti-wolf politicians in the Alaska legislature dont care,care,politicians,STATIVE
what the majority of Alaska citizens want.,want,majority,STATIVE
"And they didnt listen to the recommendations of the Alaska Department of Fish and Game,",listen,they,DYNAMIC
which opposed this legislation!,opposed,Department,DYNAMIC
They are utterly out of step with their Alaska constituents ... the state agency,are,They,STATIVE
that manages Alaska wildlife ... and the rest of the American public!,manages,agency,DYNAMIC
"In the name of wolf control, wolf killers will predictably once again use aircraft to hunt wolves to the point of exhaustion,",use,killers,DYNAMIC
"so that the wolves have, literally, no chance of survival.",have,wolves,STATIVE
"And if history is any guide, over the years thousands of Alaskas wolves will be brutally killed.",killed,thousands,DYNAMIC
"Before the 1996 ban on same-day land-and-shoot, as many as 400 wolves were killed in Alaska each year because of this barbaric and unethical practice.",killed,wolves,DYNAMIC
Anti-wolf interests are prepared to spend hundreds of thousands of dollars to make sure,prepared,interests,DYNAMIC
that the new land-and-shoot law stands ,stands,law,STATIVE
even though most Alaskans do not support it.,support,Alaskans,STATIVE
"So if we dont act right now, Alaskas snowy tundras will once again become bloody killing fields for wolves in Americas Last Frontier.",become,tundras,DYNAMIC
Say NO to the barbaric practice of same-day airborne wolf killing.,Say,,CANNOT_DECIDE
The only way Alaskans can repeal the new law,repeal,Alaskans,DYNAMIC
and reinstate the ban on same-day airborne land-and-shoot wolf killing is with a Citizens Referendum.,is,way,CANNOT_DECIDE
Thats why your special financial support is so important  and urgently needed.,’s,That,STATIVE
Alaska wolf advocates need your immediate support to save wolves.,save,advocates,STATIVE
"As I mentioned, this new same-day airborne land-and-shoot practice will start in September after the opening of hunting season and the first snow ",start,practice,DYNAMIC
and when wolves will be an easy target.,be,wolves,STATIVE
"To repeal this unconscionable law,",repeal,,CANNOT_DECIDE
Defenders must help provide our friends in Alaska,help,Defenders,DYNAMIC
-- Alaskans For Wildlife  with the resources necessary to win at the polls in November.,win,,CANNOT_DECIDE
Our well-funded opponents will spend,spend,opponents,DYNAMIC
whatever it takes to mislead and confuse voters about this ballot measure.,takes,it,STATIVE
We need help to supplement the funds,help,We,STATIVE
"raised by Alaskans For Wildlife for careful polling, the development of voter education spots for television, radio and newspapers, the placement of those ads, and get-out-the-vote efforts on election day.",raised,funds,DYNAMIC
"If Alaskas new law is not replaced, thousands of Alaska's wolves will die in the years to come.",die,thousands,DYNAMIC
And it will be a major setback for wolves,be,it,STATIVE
nationwide  at a time,,,CANNOT_DECIDE
when the American public overwhelmingly favors wolf reintroduction and protection.,favors,public,STATIVE
A loss will encourage those anti-wolf fanatics,encourage,loss,DYNAMIC
who want to stop wolf restoration and put bounties on those wolves already in the wild.,want,fanatics,STATIVE
"So, please dont wait another minute.",wait,please,CANNOT_DECIDE
Please sign your Citizens Advisory Ballot to demonstrate to our Alaska allies that youre behind them;,sign,,CANNOT_DECIDE
and send an urgent donation today to help them win this effort.,send,you,CANNOT_DECIDE
So how will your money be spent?,spent,money,CANNOT_DECIDE
"Heres the projected budget breakdown: $35,000  in-depth, state-wide survey",’s,survey,STATIVE
conducted by a top pollster to determine voters positions on the ballot measure and arguments,conducted,survey,DYNAMIC
that will help persuade undecided voters.,help,arguments,DYNAMIC
