Clause,mainVerb,mainReferent,Gold
Red Pants,,,CANNOT_DECIDE
"While writers whose business it is to be witty often fail to produce,",fail,writers,DYNAMIC
grave authors occasionally are mirthful,are,authors,STATIVE
when laughter is farthest from their minds.,farthest,laughter,STATIVE
From a lifetime of undisciplined reading with innocent pencil in hand and malice prepense,,,CANNOT_DECIDE
"in mind, I have gleaned a harvest of what I am pleased to denominate Red Pants items,",gleaned,I,DYNAMIC
a sampling of which follows.,follows,sampling,STATIVE
My designation derives from a splash of vivid writing in Francis Thompson's A Corymbus for Autumn,derives,designation,STATIVE
in which he proclaims,proclaims,he,DYNAMIC
how day's dying dragon was,was,,STATIVE
Panting red pants into the West.,Panting,”,CANNOT_DECIDE
"In this trousers category, Thompson must share the limelight with Coleridge by virtue of the line in Kubla Khan :",share,Thompson,DYNAMIC
As if this earth in fast thick pants were breathing.,breathing,earth,DYNAMIC
"Even Shelley may stake a claim, if only in the pajama division of this sector, thanks to his description in Epipsychidion of how",,,DYNAMIC
"... the slow, silent night Is measured by the pants of their calm sleep.",measured,night,DYNAMIC
"Since everthing is to be found in Shakespeare,",is,everthing,DYNAMIC
it is not surprising,is,it,STATIVE
that on at least two occasions the Board has contributed his own Red Pants nuggets.,contributed,Board,DYNAMIC
"In Antony and Cleopatra (Act IV, Scene VIII, lines 14 et seq .)",,,CANNOT_DECIDE
Antony commands the wounded Scarus to,commands,Antony,DYNAMIC
"... leap thou, attire and all, Through proof of harness to my heart, and there Ride on the pants triumphing.",Ride,Antony,CANNOT_DECIDE
"And in Othello (Act II, Scene I, line 80) Cassio utters the fervent prayer that Othello might",utters,Cassio,DYNAMIC
Make love's quick pants in Desdemona's arms.,Make,prayer,DYNAMIC
A variation on this theme occurs in Alba de Cspedes' The Secret (translated from the Italian by Isabel Quigly:,occurs,variation,DYNAMIC
"Simon and Schuster, New York, 1958, page 114) where she confides",confides,she,DYNAMIC
"that I still had a whole afternoon before me to spend,",“,,STATIVE
and I used it to tidy up my drawers.... One may well wonder,used,variation,DYNAMIC
what Miss Stowe had in mind,had,,STATIVE
"when, in Uncle Tom's Cabin (Chapter 5), she narrates",narrates,she,DYNAMIC
how Mrs. Shelby stood like one stricken.,stricken,Stowe,STATIVE
"Finally, turning to her toilet,",,,DYNAMIC
"she rested her face in her hands,",rested,turning,DYNAMIC
