Clause,mainVerb,mainReferent,Gold
How soon is now?,is,,CANNOT_DECIDE
Lebron James Makes His Decision: The A-Rod Route,Makes,James,DYNAMIC
8 Jul 2010,,,CANNOT_DECIDE
by Rick,,,CANNOT_DECIDE
Lebron James is an extremely talented basketball player.,is,Jul,STATIVE
He's also a very astute individual,'s,He,STATIVE
who understands,understands,individual,STATIVE
how to use the media -- and various communication channels -- to his advantage.,use,individual,CANNOT_DECIDE
He's also managed to surround himself with people,managed,He,DYNAMIC
"who understand business,",understand,people,STATIVE
but I'm starting to wonder,starting,He,DYNAMIC
if he's lost a bit of understanding of American culture.,lost,he,DYNAMIC
"Lebron didn't play college basketball,",play,Lebron,DYNAMIC
"he went straight from high school to the pros,",went,Lebron,DYNAMIC
and since joining the Cleveland Cavaliers,joining,he,DYNAMIC
he's won exactly zero NBA champions.,won,Lebron,DYNAMIC
He's a free agent now and tonight,'s,He,STATIVE
he made his decision,made,agent,DYNAMIC
"about which team he's going to play for in a very public manner, with a live announcement on",going,he,DYNAMIC
ESPN.,,,CANNOT_DECIDE
Earlier this week Lebron jumped on Twitter,jumped,Lebron,DYNAMIC
and quickly gained a massive following.,gained,Lebron,DYNAMIC
This morning he announced:,announced,he,DYNAMIC
Lebron James was of course a trending topic,was,James,STATIVE
and that hashtag was burning as well.,burning,topic,DYNAMIC
But I'm starting to wonder,starting,I,DYNAMIC
"if Lebron isn't painting himself into a corner,",painting,Lebron,DYNAMIC
and has maybe misread,misread,Lebron,DYNAMIC
how quickly sentiment can change.,change,sentiment,DYNAMIC
"Sure, Shaquille O'Neal once said,",said,O'Neal,DYNAMIC
"""I've won at every level but college and pro,""",won,I,DYNAMIC
but Shaq was always a larger than life,was,Shaq,STATIVE
(literally) character,,,CANNOT_DECIDE
who was outgoing,was,character,STATIVE
and had a great relationship with fans.,had,character,STATIVE
That's one of the reasons,'s,That,STATIVE
Shaq's been a huge hit on Twitter .,been,Shaq,STATIVE
Lebron doesn't have that sort of relationship with fans.,have,Lebron,STATIVE
I think,think,I,STATIVE
an appropriate comparison might be Alex Rodriguez.,be,comparison,STATIVE
An incredibly talented player,,,STATIVE
-- perhaps the best in the game -- who went a very long time,went,best,STATIVE
without winning a ring.,winning,best,CANNOT_DECIDE
"By making his announcement in this public way, Lebron has only heaped more pressure on himself.",heaped,Lebron,DYNAMIC
Ask A-Rod,Ask,,CANNOT_DECIDE
how the media can turn on you,turn,Ask,DYNAMIC
"when you put yourself above your teammates, above the game.",put,you,DYNAMIC
James now finds himself in the following position: 1.,finds,James,STATIVE
Winning a title is expected immediately,expected,title,STATIVE
wherever he goes 2.,goes,he,DYNAMIC
Not winning a title will be seen as a massive disappointment 3.,seen,winning,STATIVE
Winning a title will result in some saying,result,Winning,DYNAMIC
that he couldn't do it alone 4.,do,he,DYNAMIC
He's put himself in a position,put,Sounds,DYNAMIC
"where if he leaves Cleveland,",leaves,he,DYNAMIC
"every other city (and Cleveland) will be rooting against him Sounds just like Alex Rodriguez,",Sounds,it,STATIVE
doesn't it?,does,Rodriguez,CANNOT_DECIDE
"I'm no longer the target demographic for most of the products Lebron endorses,",'m,I,STATIVE
but you know,know,target,STATIVE
what matters to me?,matters,what,STATIVE
Winning championships.,,,CANNOT_DECIDE
"Not live prime time press conferences, not self-aggrandizing twitter hashtags and not quitting on his teammates during the playoffs.",live,,CANNOT_DECIDE
Let's see,Let,,CANNOT_DECIDE
what the future holds for Lebron.,holds,future,STATIVE
We know,know,We,STATIVE
"he'll be rich,",be,he,STATIVE
but how will he be viewed by fans across the country.,viewed,We,CANNOT_DECIDE
Perhaps Lebron should have hired a Chief Culture Officer along with his coterie of other advisors.,hired,Lebron,DYNAMIC
"If I were to fulfill that role for him,",were,I,STATIVE
I would have told him to go low key with this decision,told,I,DYNAMIC
and let it be led by his new team.,let,him,CANNOT_DECIDE
Make sure,Make,,CANNOT_DECIDE
it's clear,'s,it,STATIVE
that the team comes first,comes,team,STATIVE
and that he's looking forward to beingpart of the team.,looking,team,STATIVE
That the only thing that matters is winning a championship.,winning,thing,STATIVE
That thatwas the main factor.,was,that,STATIVE
Update: Lebron chooses,chooses,Update,DYNAMIC
"the Miami Heat and the similarities to A-Rod continue, with Dwyane Wade playing the role of Derek Jeter.",continue,Lebron,CANNOT_DECIDE
Update 2: And so it begins...,begins,2,DYNAMIC
One Comment,,,CANNOT_DECIDE
"Dan Winkler says: July 9, 2010 at 1:29 am",says,Winkler,DYNAMIC
Heatenfreude?,,,CANNOT_DECIDE
