Clause,mainVerb,mainReferent,Gold
"August 6, 1998",,,CANNOT_DECIDE
Dear Friend:,,,CANNOT_DECIDE
Adolescence.,,,CANNOT_DECIDE
"It is a pivotal time in the life of a young girl-when small changes in her behavior, or the choices",is,It,STATIVE
"she makes,",makes,she,DYNAMIC
can affect her future.,affect,changes,DYNAMIC
It's hard enough for her to make good decisions,'s,It,STATIVE
when she's surrounded by support.,surrounded,she,STATIVE
It's even harder,'s,It,STATIVE
when she isn't.,is,she,STATIVE
"Big Sisters helps fill that void by matching caring, responsible adult volunteers with at-risk girls, ages 8-14.",helps,Sisters,DYNAMIC
"A Big Sister is a mentor, a friend and a role model,",is,Sister,STATIVE
"helping a young girl to develop the self-confidence and life skills necessary to become a responsible, productive and successful adult.",helping,mentor,DYNAMIC
"Your $1,000 contribution can put a mentor in a child's life-and hope in a child's future.",put,contribution,DYNAMIC
The results of an 18-month study completed by Public/Private Ventures showed,showed,results,DYNAMIC
that children participating in one-to-one Big Sister,participating,children,DYNAMIC
"and Big Brother matches for just one year,",matches,children,CANNOT_DECIDE
reduced first time drug use by 46%;,reduced,year,DYNAMIC
lowered school absenteeism by 52%;,lowered,,DYNAMIC
cut aggressive behavior by 33%;,cut,,DYNAMIC
enhanced school performance; and improved relations with family and friends.,improved,,DYNAMIC
This is positive proof,is,This,STATIVE
that Big Sisters one-to-one mentoring program helps change lives.,helps,program,DYNAMIC
"Today, we are offering you the opportunity to help change a life.",offering,we,DYNAMIC
"By contributing $1,000",contributing,you,DYNAMIC
you can support one match for one year.,support,you,DYNAMIC
This money maintains the infrastructure,maintains,money,DYNAMIC
that fosters and supports the development of effective relationships.,fosters,infrastructure,DYNAMIC
"This includes a volunteer screening process, orientation, training and ongoing supervision and support by a professional staff.",includes,This,STATIVE
"As a Matchmaker you will receive a description of ""your match""",receive,you,DYNAMIC
"and be identified as a Matchmaker on a plaque in the Big Sisters office, in the agency newsletter and annual report.",identified,you,CANNOT_DECIDE
"Today Big Sisters serves over 1,000 girls in central Indiana.",serves,Sisters,DYNAMIC
"But for each girl served, more are left unserved.",left,more,STATIVE
Over 235 girls are currently waiting for a Big Sister.,waiting,girls,STATIVE
Imagine the difference,Imagine,,CANNOT_DECIDE
the community could make,make,community,DYNAMIC
if each congregation pledged its support of one Big Sisters match!,pledged,congregation,DYNAMIC
I encourage you to Join me in presenting this matchmaker challenge to your congregation.,encourage,I,DYNAMIC
"Sincerely, Dr. Linda McCoy Pastor, THE GARDEN A Blossom of St. Luke's United Methodist Church",,,CANNOT_DECIDE
